Year	Swiss/Austrian_Alps_JJA_T
738	1.72
739	4.04
740	4.80
741	5.17
742	4.75
743	4.57
744	1.20
745	2.34
746	3.39
747	4.03
748	3.15
749	1.91
750	1.41
751	3.50
752	2.29
753	2.11
754	4.39
755	4.74
756	4.71
757	4.98
758	5.06
759	4.30
760	1.16
761	1.44
762	2.99
763	3.86
764	4.21
765	0.89
766	2.50
767	3.54
768	4.12
769	2.58
770	3.56
771	3.52
772	1.56
773	1.43
774	-0.06
775	1.62
776	3.74
777	3.55
778	2.93
779	1.25
780	2.73
781	2.61
782	2.65
783	1.65
784	1.29
785	2.72
786	0.37
787	0.38
788	0.59
789	1.13
790	-0.20
791	-1.74
792	-1.44
793	0.08
794	0.36
795	0.91
796	0.23
797	0.18
798	-0.84
799	-1.55
800	-2.61
801	-1.63
802	-0.49
803	-0.66
804	0.76
805	0.08
806	-0.21
807	-1.17
808	-1.14
809	-0.66
810	0.63
811	0.79
812	1.18
813	0.61
814	0.79
815	0.24
816	-0.92
817	0.63
818	0.66
819	-0.09
820	-0.29
821	-1.48
822	-0.73
823	-0.17
824	0.10
825	-0.10
826	-0.36
827	-1.33
828	-0.80
829	-1.16
830	-0.11
831	0.09
832	-0.06
833	0.24
834	0.32
835	0.38
836	0.69
837	0.50
838	0.00
839	1.10
840	1.34
841	0.72
842	1.47
843	0.70
844	0.38
845	0.38
846	0.69
847	1.51
848	2.03
849	1.10
850	1.79
851	1.54
852	-0.72
853	-0.42
854	0.02
855	0.00
856	0.85
857	0.76
858	1.38
859	0.63
860	-0.04
861	-1.40
862	-0.77
863	-0.22
864	0.55
865	0.66
866	0.86
867	0.91
868	1.02
869	1.51
870	-0.78
871	-1.45
872	-1.04
873	-0.70
874	0.01
875	0.63
876	0.38
877	-0.20
878	0.42
879	0.97
880	1.10
881	1.05
882	1.06
883	0.59
884	0.07
885	1.22
886	0.77
887	1.05
888	1.22
889	1.62
890	1.06
891	1.04
892	1.06
893	0.58
894	0.94
895	-0.10
896	-0.84
897	0.95
898	-0.50
899	-1.49
900	-0.44
901	0.28
902	-0.29
903	0.09
904	0.39
905	0.01
906	-0.41
907	-0.74
908	0.08
909	-0.86
910	-1.13
911	-0.06
912	0.46
913	0.54
914	0.45
915	-0.11
916	1.09
917	1.05
918	0.07
919	0.38
920	-0.07
921	0.16
922	0.36
923	0.71
924	0.59
925	0.11
926	0.45
927	-0.07
928	-0.61
929	0.23
930	-0.30
931	-0.08
932	0.34
933	0.19
934	0.33
935	-0.37
936	0.14
937	0.01
938	-0.34
939	-1.04
940	-1.48
941	0.52
942	-0.76
943	-0.73
944	-2.00
945	-0.42
946	-0.44
947	-0.32
948	0.49
949	1.16
950	0.94
951	1.01
952	0.14
953	-0.90
954	-0.57
955	-0.25
956	0.77
957	0.15
958	0.44
959	0.31
960	1.29
961	0.30
962	-0.18
963	0.00
964	1.09
965	1.42
966	1.07
967	0.09
968	0.11
969	0.33
970	0.72
971	-0.02
972	0.11
973	-0.24
974	0.10
975	0.01
976	-0.76
977	-0.70
978	-0.08
979	0.55
980	0.33
981	0.72
982	0.73
983	1.22
984	1.21
985	0.93
986	0.52
987	0.14
988	0.62
989	0.15
990	0.52
991	0.37
992	0.33
993	1.38
994	0.13
995	-0.22
996	-0.99
997	-0.60
998	-0.83
999	-0.88
1000	-0.87
1001	-0.29
1002	-0.12
1003	-0.08
1004	-1.24
1005	-0.31
1006	-0.86
1007	-1.42
1008	0.57
1009	0.01
1010	-0.25
1011	-0.07
1012	-0.36
1013	0.15
1014	-0.93
1015	-0.04
1016	-0.91
1017	-0.90
1018	-0.52
1019	0.12
1020	-1.60
1021	-1.80
1022	-0.39
1023	-0.15
1024	-0.60
1025	-0.30
1026	0.34
1027	-0.29
1028	0.21
1029	-1.19
1030	-0.41
1031	0.60
1032	-0.40
1033	0.04
1034	-0.46
1035	-0.12
1036	-0.39
1037	-0.48
1038	-0.47
1039	-0.19
1040	-1.23
1041	-0.67
1042	-0.49
1043	-1.13
1044	0.22
1045	-0.57
1046	-0.56
1047	-0.55
1048	-0.70
1049	-0.48
1050	0.29
1051	-1.03
1052	-0.53
1053	-0.97
1054	-1.13
1055	-1.28
1056	-1.10
1057	-0.91
1058	-0.76
1059	-0.66
1060	-0.08
1061	-0.86
1062	-1.38
1063	-1.29
1064	-0.33
1065	0.17
1066	-0.88
1067	-0.33
1068	-0.61
1069	-1.04
1070	-0.74
1071	-1.29
1072	-1.60
1073	-1.31
1074	-1.40
1075	-1.51
1076	-1.06
1077	-1.11
1078	-0.91
1079	-0.85
1080	-0.61
1081	-0.58
1082	-0.66
1083	0.03
1084	0.39
1085	0.14
1086	-0.19
1087	0.13
1088	-0.94
1089	-0.55
1090	-1.24
1091	-0.60
1092	-0.54
1093	-0.45
1094	-0.66
1095	-0.68
1096	-0.69
1097	0.07
1098	-0.61
1099	-0.36
1100	-0.47
1101	-0.42
1102	-0.30
1103	-0.76
1104	-0.47
1105	0.31
1106	0.20
1107	-1.19
1108	-1.41
1109	-1.72
1110	-1.18
1111	-0.48
1112	-1.28
1113	-0.75
1114	-0.99
1115	-0.97
1116	-1.23
1117	-2.17
1118	-2.25
1119	-1.68
1120	-0.87
1121	-1.37
1122	-1.13
1123	-0.21
1124	-0.38
1125	-0.28
1126	-0.64
1127	-0.92
1128	-0.33
1129	-1.38
1130	-0.52
1131	-0.42
1132	-0.70
1133	-0.42
1134	-0.43
1135	-0.78
1136	-1.12
1137	-0.77
1138	-0.30
1139	0.33
1140	-0.41
1141	-0.54
1142	-0.58
1143	-0.27
1144	-0.98
1145	-0.62
1146	-0.40
1147	-1.79
1148	-0.34
1149	-0.04
1150	0.08
1151	-1.56
1152	-1.34
1153	0.01
1154	-0.44
1155	-0.52
1156	-0.29
1157	-0.28
1158	-0.67
1159	0.14
1160	0.91
1161	1.33
1162	0.45
1163	0.36
1164	-0.01
1165	0.09
1166	-0.55
1167	-0.57
1168	-0.36
1169	-0.34
1170	0.31
1171	-1.30
1172	-1.44
1173	-0.78
1174	-1.37
1175	-0.71
1176	-0.15
1177	-0.04
1178	-0.51
1179	-0.73
1180	-0.83
1181	-1.28
1182	-0.91
1183	-1.02
1184	-0.84
1185	-0.47
1186	-0.03
1187	-0.96
1188	-1.03
1189	-0.91
1190	-1.19
1191	-1.40
1192	-1.06
1193	-0.98
1194	-0.41
1195	-0.51
1196	-1.39
1197	-1.60
1198	-1.11
1199	-1.51
1200	-1.64
1201	-1.06
1202	-0.89
1203	-0.42
1204	-0.95
1205	0.28
1206	0.24
1207	-1.15
1208	-1.16
1209	-1.12
1210	-0.50
1211	-0.47
1212	0.02
1213	-0.22
1214	-0.17
1215	-0.95
1216	-1.36
1217	-1.67
1218	-1.48
1219	-0.77
1220	-0.55
1221	-0.39
1222	-0.44
1223	-1.04
