148 011 1711   371   670   639   371   691   629   526   484  1051
148 011 1720   814   907   361   392   866   660   608   464   330   763
148 011 1730   340   474    21   247   113   258   124   309   340   299
148 011 1740   371   309   155   175   402   340   443   309   196   155
148 011 1750   299   526    93   196   515   186   711   608  1000   453
148 011 1760   165   474   412   268   340   237   144   515   309   371
148 011 1770    72   289    93   165   546   526   124   453   567   526
148 011 1780   350   278   289    82   196   268    72   278   227   392
148 011 1790   464   237   216   278   175   289   289   134   155   103
148 011 1800   350   453   392   299   278   526   453   649   464   258
148 011 1810   186   237   124   258   103    72     9    62    70    95
148 011 1820    82   165   155   216   164    88    72   206    60   165
148 011 1830   113    52   175   134   103   113   103   206    75   268
148 011 1840   165   123   701    72   381   433   247   412   330   392
148 011 1850   340   443   237   258   186    92   340    82   175   155
148 011 1860   103   227   237    21   206   144    93   120   278   196
148 011 1870   577   320   309   186   113   113   237   309   155   196
148 011 1880   165   196    41   103    72   186   134   258   155    82
148 011 1890   268    97   146   113   113   309   237   134   258    62
148 011 1900   320   196   186   227   309   237   162   213   284   309
148 011 1910   258   526   278   361   144   505   278   309   371   196
148 011 1920   258   433   412   649   423   320   227   247   453   258
148 011 1930   121   164    62   340   165   237   289   474   361   402
148 011 1940   196   330   515   526   361   526   350   134   309   134
148 011 1950   258   299   443   412   526   691   835   402   495   546
148 011 1960   258   515   412   577   577   464   124   361   258   423
148 011 1970   247   186   361   237   381    72   402   361   608   557
148 011 1980   216   453   433   752   701   381   144   484   464   825
148 011 1990   670   948   505   917   783   124   866    93   464    52
148 011 2000 -9999
148 02M 1687  1474  1628  1474
148 02M 1690  1494  1196  1134  1154  1062  1216   892   546   211   376
148 02M 1700   752   675  1154  1149  1304  1185   974  1412   938   959
148 02M 1710   871   567   773   768   304   778   629   407   412   737
148 02M 1720   428   814   464   520   907   721   876   788   546   814
148 02M 1730   417   515   309   417   320   515   278   546   649   448
148 02M 1740   624   371   273   273   541   464   613   484   407   320
148 02M 1750   469   752   247   320   567   227   773   546   685   567
148 02M 1760   299   505   587   350   335   325   180   453   191   320
148 02M 1770    98   340   180   180   387   443   124   490   701   557
148 02M 1780   387   428   443   175   263   469   211   361   294   335
148 02M 1790   526   304   278   325   196   309   412   186    67   103
148 02M 1800   278   340   237   289   191   309   232   361   320   216
148 02M 1810   149   222    77   196    98    62    10    62    82    82
148 02M 1820    52   186   165   155   134    67    77   201    15   253
148 02M 1830   175    15   170    46    46   170    72   108   108   232
148 02M 1840   253    98   366   144   356   407   216   459   309   356
148 02M 1850   345   423   216   253   186    21   294    67   196   139
148 02M 1860   119   222   139   191   124   139    31   135   227   119
148 02M 1870   268   155   216   103    88   108   201   216   160   149
148 02M 1880   124   160    41    52    62    72   191   165    52    46
148 02M 1890   201   108    31   139    31   113    52   134   191    93
148 02M 1900   139    62   119     0   113    93   124   149   113   196
148 02M 1910   113   191   144   211    82   335   206   216   232   129
148 02M 1920   247   309   299   453   417   268   222   263   433   247
148 02M 1930    98    98   119   335   273   381   335   551   603   577
148 02M 1940   340   237   505   598   407   510   273   139   273   227
148 02M 1950   304   443   505   608   768   758   979   629   557   541
148 02M 1960   469   680   845   928   850   773   598   654   371   608
