"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","mean.lifespan"
"2",0.05,0,1,1,6,7,0,0.142857142857143,0.142857142857143,6.62166666666667
"3",0.15,0,0,0,7,7,0,0,0,5.72571428571429
"4",0.25,1,1,2,7,7,0.142857142857143,0.142857142857143,0.285714285714286,5.62571428571429
"5",0.35,0,0,0,7,7,0,0,0,5.72642857142857
"6",0.45,0,2,2,7,9,0,0.222222222222222,0.222222222222222,5.62642857142857
"7",0.55,0,1,1,9,10,0,0.1,0.1,5.05833333333333
"8",0.65,0,0,0,10,10,0,0,0,4.4987
"9",0.75,0,1,1,10,11,0,0.0909090909090909,0.0909090909090909,4.3987
"10",0.85,0,1,1,11,12,0,0.0833333333333333,0.0833333333333333,4.174
"11",0.95,1,1,2,12,12,0.0833333333333333,0.0833333333333333,0.166666666666667,3.753
"12",1.05,1,0,1,12,11,0.0833333333333333,0,0.0833333333333333,4.09825
"13",1.15,1,0,1,11,10,0.0909090909090909,0,0.0909090909090909,4.36627272727273
"14",1.25,0,3,3,10,13,0,0.230769230769231,0.230769230769231,4.7007
"15",1.35,0,0,0,13,13,0,0,0,4.14369230769231
"16",1.45,0,0,0,13,13,0,0,0,4.04369230769231
"17",1.55,2,0,2,13,11,0.153846153846154,0,0.153846153846154,3.94369230769231
"18",1.65,2,1,3,11,10,0.181818181818182,0.1,0.281818181818182,4.55245454545455
"19",1.75,0,0,0,10,10,0,0,0,5.9705
"20",1.85,0,2,2,10,12,0,0.166666666666667,0.166666666666667,5.8705
"21",1.95,0,3,3,12,15,0,0.2,0.2,5.71408333333333
"22",2.05,0,1,1,15,16,0,0.0625,0.0625,5.98406666666667
"23",2.15,0,0,0,16,16,0,0,0,5.8433125
"24",2.25,0,1,1,16,17,0,0.0588235294117647,0.0588235294117647,5.7433125
"25",2.35,0,0,0,17,17,0,0,0,5.75505882352941
"26",2.45,0,0,0,17,17,0,0,0,5.65505882352941
"27",2.55,0,1,1,17,18,0,0.0555555555555556,0.0555555555555556,5.55505882352941
"28",2.65,0,1,1,18,19,0,0.0526315789473684,0.0526315789473684,5.4665
"29",2.75,0,1,1,19,20,0,0.05,0.05,5.13705263157895
"30",2.85,0,0,0,20,20,0,0,0,4.8785
"31",2.95,0,1,1,20,21,0,0.0476190476190476,0.0476190476190476,4.7785
"32",3.05,0,0,0,21,21,0,0,0,5.32342857142857
"33",3.15,0,0,0,21,21,0,0,0,5.22342857142857
"34",3.25,0,0,0,21,21,0,0,0,5.12342857142857
"35",3.35,0,0,0,21,21,0,0,0,5.02342857142857
"36",3.45,0,0,0,21,21,0,0,0,4.92342857142857
"37",3.55,0,2,2,21,23,0,0.0869565217391304,0.0869565217391304,4.82342857142857
"38",3.65,1,3,4,23,25,0.0434782608695652,0.12,0.163478260869565,7.37130434782609
"39",3.75,2,1,3,25,24,0.08,0.0416666666666667,0.121666666666667,9.57152
"40",3.85,0,2,2,24,26,0,0.0769230769230769,0.0769230769230769,10.2739166666667
"41",3.95,2,1,3,26,25,0.0769230769230769,0.04,0.116923076923077,9.97426923076923
"42",4.05,0,5,5,25,30,0,0.166666666666667,0.166666666666667,10.40892
"43",4.15,0,1,1,30,31,0,0.032258064516129,0.032258064516129,11.1217333333333
"44",4.25,0,1,1,31,32,0,0.03125,0.03125,11.7232903225806
"45",4.35,0,0,0,32,32,0,0,0,11.57440625
"46",4.45,1,1,2,32,32,0.03125,0.03125,0.0625,11.47440625
"47",4.55,0,0,0,32,32,0,0,0,11.39775
"48",4.65,1,5,6,32,36,0.03125,0.138888888888889,0.170138888888889,11.29775
"49",4.75,0,0,0,36,36,0,0,0,10.42025
"50",4.85,0,1,1,36,37,0,0.027027027027027,0.027027027027027,10.32025
"51",4.95,2,1,3,37,36,0.0540540540540541,0.0277777777777778,0.0818318318318318,9.95591891891892
"52",5.05,1,1,2,36,36,0.0277777777777778,0.0277777777777778,0.0555555555555556,10.1968611111111
"53",5.15,1,2,3,36,37,0.0277777777777778,0.0540540540540541,0.0818318318318318,10.1047777777778
"54",5.25,3,3,6,37,37,0.0810810810810811,0.0810810810810811,0.162162162162162,9.74435135135135
"55",5.35,5,4,9,37,36,0.135135135135135,0.111111111111111,0.246246246246246,9.97497297297297
"56",5.45,0,1,1,36,37,0,0.027027027027027,0.027027027027027,10.8966666666667
"57",5.55,0,2,2,37,39,0,0.0512820512820513,0.0512820512820513,10.581
"58",5.65,0,2,2,39,41,0,0.0487804878048781,0.0487804878048781,10.2011025641026
"59",5.75,0,1,1,41,42,0,0.0238095238095238,0.0238095238095238,9.85609756097561
"60",5.85,0,0,0,42,42,0,0,0,9.56585714285714
"61",5.95,0,2,2,42,44,0,0.0454545454545455,0.0454545454545455,9.46585714285714
"62",6.05,0,3,3,44,47,0,0.0638297872340425,0.0638297872340425,9.04511363636364
"63",6.15,0,0,0,47,47,0,0,0,8.50508510638298
"64",6.25,0,1,1,47,48,0,0.0208333333333333,0.0208333333333333,8.40508510638298
"65",6.35,1,2,3,48,49,0.0208333333333333,0.0408163265306122,0.0616496598639456,8.17291666666667
"66",6.45,0,2,2,49,51,0,0.0392156862745098,0.0392156862745098,8.03781632653061
"67",6.55,0,1,1,51,52,0,0.0192307692307692,0.0192307692307692,7.95880392156863
"68",6.65,0,0,0,52,52,0,0,0,7.72530769230769
"69",6.75,0,2,2,52,54,0,0.037037037037037,0.037037037037037,7.62530769230769
"70",6.85,0,3,3,54,57,0,0.0526315789473684,0.0526315789473684,7.30514814814815
"71",6.95,2,0,2,57,55,0.0350877192982456,0,0.0350877192982456,6.94277192982456
"72",7.05,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,7.0946
"73",7.15,1,0,1,56,55,0.0178571428571429,0,0.0178571428571429,6.93576785714286
"74",7.25,1,3,4,55,57,0.0181818181818182,0.0526315789473684,0.0708133971291866,6.96081818181818
"75",7.35,4,2,6,57,55,0.0701754385964912,0.0363636363636364,0.106539074960128,6.70712280701754
"76",7.45,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,6.89870909090909
"77",7.55,3,1,4,56,54,0.0535714285714286,0.0185185185185185,0.0720899470899471,6.68817857142857
"78",7.65,0,1,1,54,55,0,0.0181818181818182,0.0181818181818182,6.8462962962963
"79",7.75,0,0,0,55,55,0,0,0,6.73158181818182
"80",7.85,1,0,1,55,54,0.0181818181818182,0,0.0181818181818182,6.63158181818182
"81",7.95,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,6.65309259259259
"82",8.05,0,1,1,54,55,0,0.0181818181818182,0.0181818181818182,6.61972222222222
"83",8.15,2,1,3,55,54,0.0363636363636364,0.0185185185185185,0.0548821548821549,6.45598181818182
"84",8.25,9,0,9,54,45,0.166666666666667,0,0.166666666666667,6.51561111111111
"85",8.35,2,1,3,45,44,0.0444444444444444,0.0227272727272727,0.0671717171717172,7.70515555555555
"86",8.45,0,0,0,44,44,0,0,0,7.852
"87",8.55,0,2,2,44,46,0,0.0434782608695652,0.0434782608695652,7.752
"88",8.65,1,0,1,46,45,0.0217391304347826,0,0.0217391304347826,7.37858695652174
"89",8.75,5,0,5,45,40,0.111111111111111,0,0.111111111111111,7.441
"90",8.85,1,0,1,40,39,0.025,0,0.025,8.26285
"91",8.95,0,2,2,39,41,0,0.0487804878048781,0.0487804878048781,8.37238461538462
"92",9.05,1,0,1,41,40,0.024390243902439,0,0.024390243902439,7.88970731707317
"93",9.15,0,0,0,40,40,0,0,0,7.984575
"94",9.25,0,3,3,40,43,0,0.0697674418604651,0.0697674418604651,7.884575
"95",9.35,0,2,2,43,45,0,0.0444444444444444,0.0444444444444444,7.3656976744186
