"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","existing_n","mean.lifespan"
"2",0.05,0,7,7,0,7,0,1,1,0,0
"3",0.15,0,0,0,7,7,0,0,0,7,5.82571428571429
"4",0.25,1,1,2,7,7,0.142857142857143,0.142857142857143,0.285714285714286,7,5.82571428571429
"5",0.35,0,0,0,7,7,0,0,0,7,6.02642857142857
"6",0.45,0,2,2,7,9,0,0.222222222222222,0.222222222222222,7,6.02642857142857
"7",0.55,0,1,1,9,10,0,0.1,0.1,9,5.55833333333333
"8",0.65,0,0,0,10,10,0,0,0,10,5.0987
"9",0.75,0,1,1,10,11,0,0.0909090909090909,0.0909090909090909,10,5.0987
"10",0.85,0,1,1,11,12,0,0.0833333333333333,0.0833333333333333,11,4.974
"11",0.95,1,1,2,12,12,0.0833333333333333,0.0833333333333333,0.166666666666667,12,4.653
"12",1.05,1,0,1,12,11,0.0833333333333333,0,0.0833333333333333,12,5.09825
"13",1.15,1,0,1,11,10,0.0909090909090909,0,0.0909090909090909,11,5.46627272727273
"14",1.25,0,3,3,10,13,0,0.230769230769231,0.230769230769231,10,5.9007
"15",1.35,0,0,0,13,13,0,0,0,13,5.44369230769231
"16",1.45,0,0,0,13,13,0,0,0,13,5.44369230769231
"17",1.55,2,0,2,13,11,0.153846153846154,0,0.153846153846154,13,5.44369230769231
"18",1.65,2,1,3,11,10,0.181818181818182,0.1,0.281818181818182,11,6.15245454545455
"19",1.75,0,0,0,10,10,0,0,0,10,7.6705
"20",1.85,0,2,2,10,12,0,0.166666666666667,0.166666666666667,10,7.6705
"21",1.95,0,3,3,12,15,0,0.2,0.2,12,7.61408333333333
"22",2.05,0,1,1,15,16,0,0.0625,0.0625,15,7.98406666666667
"23",2.15,0,0,0,16,16,0,0,0,16,7.9433125
"24",2.25,0,1,1,16,17,0,0.0588235294117647,0.0588235294117647,16,7.9433125
"25",2.35,0,0,0,17,17,0,0,0,17,8.05505882352941
"26",2.45,0,0,0,17,17,0,0,0,17,8.05505882352941
"27",2.55,0,1,1,17,18,0,0.0555555555555556,0.0555555555555556,17,8.05505882352941
"28",2.65,0,1,1,18,19,0,0.0526315789473684,0.0526315789473684,18,8.0665
"29",2.75,0,1,1,19,20,0,0.05,0.05,19,7.83705263157895
"30",2.85,0,0,0,20,20,0,0,0,20,7.6785
"31",2.95,0,1,1,20,21,0,0.0476190476190476,0.0476190476190476,20,7.6785
"32",3.05,0,0,0,21,21,0,0,0,21,8.32342857142857
"33",3.15,0,0,0,21,21,0,0,0,21,8.32342857142857
