"age","FAD_cnt","LAD_cnt","total"
1.5,5,11,16
2.5,5,11,16
3.5,7,9,16
4.5,12,13,25
5.5,12,8,20
6.5,7,1,8
7.5,3,0,3
8.5,5,2,7
9.5,5,3,8
10.5,3,5,8
11.5,3,5,8
12.5,1,3,4
13.5,9,8,17
14.5,7,5,12
15.5,5,6,11
16.5,7,8,15
17.5,6,2,8
18.5,5,0,5
19.5,1,3,4
20.5,1,1,2
21.5,6,3,9
22.5,9,5,14
23.5,0,5,5
24.5,1,1,2
25.5,5,0,5
26.5,3,5,8
27.5,2,0,2
28.5,0,0,0
29.5,4,1,5
30.5,5,7,12
31.5,2,1,3
32.5,3,5,8
33.5,4,12,16
34.5,7,11,18
35.5,4,4,8
36.5,3,3,6
37.5,1,5,6
38.5,5,4,9
39.5,5,7,12
40.5,5,9,14
41.5,3,5,8
42.5,7,9,16
43.5,17,12,29
44.5,5,3,8
45.5,4,2,6
46.5,7,4,11
47.5,7,0,7
48.5,5,2,7
49.5,2,1,3
50.5,11,12,23
51.5,1,2,3
52.5,3,0,3
53.5,1,1,2
54.5,5,4,9
55.5,14,13,27
56.5,8,0,8
57.5,8,7,15
58.5,2,0,2
59.5,0,1,1
60.5,8,5,13
61.5,6,2,8
62.5,12,8,20
63.5,3,2,5
64.5,0,1,1
65.5,6,1,7
66.5,4,2,6
67.5,0,0,0
68.5,0,0,0
69.5,1,0,1
70.5,1,0,1
