"age","oxy_18"
0.0012,2.63
0.0018,2.51
0.0023,2.52
0.003,2.65
0.0033,2.71
0.0039,2.57
0.0045,2.61
0.0052,2.63
0.0057,2.66
0.0062,2.72
0.0069,2.62
0.0075,2.64
0.008,2.8
0.0084,2.78
0.009,2.78
0.0096,2.7
0.0101,2.79
0.0116,3.02
0.0124,3.31
0.0139,3.45
0.0153,3.68
0.0163,3.86
0.0172,4.17
0.0183,4.41
0.0194,4.27
0.0205,4.31
0.0217,4.28
0.0233,4.09
0.025,4.14
0.0267,4.08
0.0282,4.04
0.0294,4
0.0308,3.98
0.0322,3.99
0.0335,3.9
0.036,3.92
0.0375,3.79
0.0393,3.87
0.041,3.85
0.0426,3.86
0.0448,3.81
0.0468,3.74
0.0489,3.78
0.0506,3.84
0.0524,3.7
0.0541,3.75
0.0559,3.8
0.0572,3.67
0.0599,3.75
0.0621,3.86
0.064,3.7
0.0661,3.86
0.0684,3.87
0.0707,3.71
0.0721,3.58
0.074,3.57
0.0748,3.43
0.0763,3.43
0.0778,3.36
0.0794,3.16
0.081,3.1
0.0828,3.26
0.0851,3.4
0.0861,3.33
0.0884,3.56
0.0903,3.34
0.0926,3.51
0.0938,3.33
0.0954,3.21
0.0974,3.25
0.0991,3.17
0.1007,3.3
0.1039,3.21
0.1061,3.36
0.1071,3.46
0.1091,3.36
0.1105,3.45
0.112,3.25
0.113,3.34
0.114,3.17
0.1154,3.2
0.1162,2.74
0.1177,3.21
0.119,2.5
0.1195,2.59
0.12,2.57
0.1209,2.57
0.1221,2.63
0.1235,2.39
0.1247,2.43
0.1258,2.69
0.1271,2.78
0.1286,3.34
0.1301,3.66
0.1312,4.02
0.1319,4.31
0.133,4.22
0.1337,4.28
0.1344,4.36
0.1354,4.42
0.1362,4.34
0.1381,4.21
0.1391,4.09
0.1407,4.23
0.1416,4.26
0.1429,4.25
0.1442,4.17
0.1456,4.08
0.1474,3.97
0.149,4.05
0.1498,3.82
0.151,3.91
0.1523,4.17
0.1546,4.11
0.1572,4.03
0.1592,3.88
0.1605,3.74
0.1625,3.92
0.1646,3.84
0.167,3.76
0.1692,3.75
0.171,3.48
0.1725,3.71
0.1742,3.64
0.1765,3.69
0.1789,3.86
0.1821,3.67
0.1841,3.96
0.1854,3.68
0.1884,3.53
0.1911,3.27
0.1943,3.06
0.1993,2.93
0.2038,3.32
0.2123,3.03
0.2144,3.27
0.2188,2.97
0.2223,3.43
0.2252,3.8
0.2282,3.69
0.2293,3.67
0.2328,3.51
0.2344,3.3
0.236,3.23
