"age","short_sea_level"
0,0
0.018,-100
0.24,10
0.86,-50
0.95,27.38
1.54,-45
1.61,-8.81
1.65,-45
1.76,27.38
2.16,-67.91
2.39,27.38
2.5,-67.91
2.59,27.38
2.76,-58.94
2.89,27.85
3.27,-28.57
3.82,28.32
3.95,-23.57
4.16,74.55
4.46,68.42
5.45,97.13
5.65,-30.64
6.03,45.64
6.81,-16.96
7.67,23.13
8.75,-24.51
10.53,12.69
11.36,-68.38
12.24,66.47
12.55,55.68
13.12,115.11
13.39,110.4
13.68,159.92
13.77,73.6
15.2,159.39
15.99,58.04
16.96,150.96
17.35,130.21
18.05,134.92
18.56,85.17
18.98,127.61
19.4,88.17
19.64,80.68
19.91,105.65
20.94,130.62
21.27,115.58
22.24,139.58
22.77,43.89
23.96,90.11
24.58,55.21
26.2,89.64
27.07,49.08
27.79,83.04
27.99,25.96
28.64,202.38
29,198.13
30.54,218.42
32.1,171.25
32.9,218.42
33.57,124.08
34.44,169.36
34.79,152.85
35.91,166.53
36.53,137.28
37.11,149.96
37.29,109.92
38.23,206.09
38.79,172.66
40.31,208.45
41.59,145.77
42.51,190.52
43.05,180.68
44.65,227.38
45.27,211.81
46.79,237.75
47.14,163.7
47.84,215.11
48.72,90.11
49.49,224.55
49.82,204.64
50.4,224.55
50.47,214.64
51.27,230.21
51.46,217.94
52,233.51
52.29,202.85
53.01,245.71
53.39,220.24
53.67,243.82
54,228.32
54.63,234.92
54.94,178.79
55.2,215.52
55.27,195.3
55.35,217.47
55.38,98.6
55.82,217.47
56.25,188.7
56.63,213.7
57,173.7
57.35,213.7
57.71,170.7
57.88,210.7
58.06,191.7
58.45,206.7
58.84,183.57
59.17,198.57
59.39,80.21
59.51,154.07
60.56,190.45
61.26,166.06
62.23,213.7
62.85,184.45
63.3,213.7
63.6,202.85
64.42,213.7
65.09,202.85
65.46,218.7
65.58,189
66.02,221
66.54,162.5
67.3,225
68.31,195.75
68.96,227
69.25,198
69.74,235
70.44,191.5
71.1,239
71.73,198.5
72.45,245
73.24,165.75
74.07,247
74.95,207
75.69,247
76.3,192
77.05,247
77.94,203.25
78.79,242
79.61,167
80.25,242
80.73,189
81.38,238
82.2,192.63
83.1,237
84.09,146.25
84.93,235
85.6,154.25
86.04,234
86.25,176.75
86.56,228
86.99,174.13
87.51,231
88.11,137.13
88.77,234
89.85,143.88
90.33,247
91.29,129.5
91.98,267
92.4,240.75
92.75,277
93.05,207
93.35,277
93.66,238.25
93.96,267
94.25,233.25
94.67,262
95.22,147.13
95.88,249
96.63,202.5
97.36,247
98.06,158.88
98.56,252
98.86,184.25
99.4,255
100.18,140.5
101.22,249
102.49,148.75
103.29,222
103.62,142.25
104.08,209
104.68,152.63
105.46,192
106.87,120.75
108,177
109,82.5
109.77,165
110.32,105
110.78,165
111.17,89
111.84,157
112.78,53.25
113.45,152
113.85,92
114.19,152
114.48,87
115.51,152
117.29,94.25
118.97,155
120.55,87.63
121.75,162
122.57,105.75
123.64,167
124.96,58
125.81,175
126.2,71.13
126.9,178
127.9,104.5
128.65,182
129.16,154.25
129.53,185
129.77,152.75
130.07,182
130.43,78.25
130.91,177
131.51,100.75
132.11,147
132.73,104.5
133.2,137
133.52,113.25
133.96,127
134.52,90.75
135.51,112
136.93,58.75
137.96,90
138.7,114.03
139,94
139.17,25
139.49,102
139.95,51.75
140.48,128
141.09,56.38
141.72,137
142.38,77
143.01,137
143.61,83.25
144.49,132
145.64,79.5
146.41,142
146.8,67
148.862,145.08
149.347,93.89
149.835,155.77
150.307,89.46
150.694,172.75
151.068,124.48
151.507,185.96
151.738,156.78
152.082,179.67
152.9,140.36
153.794,156.4
154.946,130.61
155.711,144.45
157.617,107.88
158.814,134.92
159.409,109.7
160.279,125.58
160.413,107.09
160.718,119.83
160.848,94.03
162.824,96.72
164.028,45.81
165.082,66.06
165.797,17.72
166.437,48.85
166.578,39.17
166.689,56.09
166.988,51.06
167.612,90.99
168.149,79.99
168.748,106.09
169.27,68.82
170.452,85.96
172.81,14.49
174.043,36.28
174.206,25.27
175.411,55.04
175.703,46.72
178.784,70.77
179.362,49
180.92,59.05
182.84,6.4
184.708,29.36
186.385,20.92
187.734,35.02
188.037,22.82
188.532,40.05
188.745,31.93
189.239,42.47
190.965,0.11
193.792,11.03
195.06,-16.87
197.291,-10.89
198.937,-46.99
200.516,-38
202.46,-38
210.1,-71.48
229.5,-47
230.2,-100.27
231.39,-48
233.08,-98.64
235.54,-62
237.21,-150.65
239.87,-80
241.46,-122.15
243.52,-83
244.56,-115.55
246.11,-83
246.68,-95.18
247.51,-82
247.67,-92.63
248.81,-82
248.99,-118.9
250.7,-85
252.09,-105
252.56,-80
252.96,-125
253.43,-75
253.94,-120
255.48,-70
257.57,-115
258.51,-65
259.62,-145
260.83,-45
262.09,-90
263.19,-35
263.79,-55
264.48,-25
265.09,-70
265.78,-10
266.23,-55
266.86,-5
267.41,-50
268.16,-5
268.67,-50
268.96,-5
269.22,-50
270.52,5
272,-40
272.49,0
273.34,-20
272.88,-5
274.42,-50
276.08,5
277.78,-40
279.67,5
281.61,-40
283.58,5
285.33,-75
286.45,5
287.31,-75
288.6,5
289.93,-40
290.55,5
291.09,-15
291.54,5
291.89,-15
292.32,5
292.7,-40
293.12,0
293.43,-20
293.74,0
294.1,-20
294.39,0
294.75,-20
295.08,5
295.43,-75
295.7,15
296,-5
296.16,25
296.48,5
297.59,30
298.58,-15
299.69,35
300.4,-45
301.11,35
301.65,-45
302.56,25
303.28,-20
303.67,25
304.02,-20
304.36,25
304.85,-55
305.71,25
306.48,-55
307.38,15
308.39,-65
309.82,10
311.89,-35
313.37,0
314.19,-20
314.96,-10
315.98,-30
316.69,-20
317.08,-40
317.67,-30
318.57,-75
319.88,-40
320.87,-60
321.2,-45
321.41,-125
321.67,-45
322.08,-90
322.53,-45
323.04,-90
323.57,-45
324.19,-90
324.71,-40
325.34,-85
325.75,-30
326.15,-75
326.63,-20
327.22,-100
327.66,-15
328.06,-60
328.41,-10
328.82,-55
329.14,-5
329.44,-50
329.92,-5
330.86,-85
331.51,0
331.93,-80
332.18,5
332.52,-40
332.98,5
333.6,-40
334.18,5
334.69,-40
335.35,15
335.95,-30
337.53,25
339.23,-55
340.68,35
342.69,-10
343.58,50
344.16,5
345.33,55
346.71,10
348.07,55
349.94,35
351.4,65
352.83,20
353.93,70
355.55,-10
356.91,70
358.78,-10
359.17,70
359.37,25
359.76,75
360.14,55
361.2,75
362.45,30
363.18,75
363.3,55
363.68,75
364.04,30
365.12,80
366.56,35
367.34,90
368.16,45
369.7,95
372.04,15
372.34,105
372.44,85
372.66,105
372.88,60
374.64,110
376.02,65
376.46,115
376.64,95
377.61,125
378.93,105
379.6,125
380.05,105
380.98,130
381.72,85
382.43,130
383.06,110
383.28,130
383.35,110
383.48,130
383.59,110
383.9,125
384.17,105
384.78,125
385.12,105
385.78,125
386.47,80
387.02,120
387.34,100
387.53,120
387.66,100
387.81,115
387.9,95
387.99,115
388.06,95
388.16,110
388.25,90
388.65,105
389.18,60
389.61,105
390.09,85
391.87,95
392.94,50
394.25,90
395.49,45
397.51,85
399.09,40
401.2,80
402.94,35
404.67,85
406.38,40
407.01,85
407.52,5
408.75,85
410.06,5
411.01,95
411.61,75
413.53,105
415.2,85
416.01,110
416.52,90
417.22,115
418.11,35
418.85,125
419.99,105
421.15,135
422.82,55
423.45,145
423.88,100
424.52,155
425.27,110
426.39,160
427.26,115
428.56,170
429.63,125
430.14,175
430.42,155
431.31,180
432.17,160
433.04,180
433.81,100
434.85,180
435.72,135
436.4,175
436.92,155
437.68,170
438.31,125
438.77,160
439.11,115
439.64,150
440.19,105
441.86,140
443.65,60
444.43,155
445.09,75
445.27,170
445.49,150
446.02,180
446.68,160
446.96,185
447.13,165
447.35,195
447.6,150
448.04,200
448.76,155
449.47,210
450.05,190
451.36,220
452.49,200
453.14,220
454.02,175
455.13,215
456.06,170
457.37,195
458.25,150
459.44,180
460.3,135
460.99,170
461.47,125
462.2,155
462.82,75
464.66,140
466.2,95
467.9,135
470,55
470.33,145
470.41,100
471.11,150
471.88,70
473.09,155
474.11,75
474.73,155
475.09,135
475.6,150
475.87,70
476.72,145
478.24,100
479.07,130
479.86,50
480.54,120
481.21,40
483.05,115
484.65,95
485.33,110
485.68,90
486.36,105
486.83,85
487.75,100
488.45,80
488.96,95
489.33,50
490.55,90
492.17,10
494.66,75
496.77,30
497.98,65
498.86,20
499.28,65
499.77,-15
500.71,60
501.65,-20
502.89,55
503.93,35
504.68,50
505.18,5
505.54,50
505.87,-30
507.07,25
510.47,-45
512.45,-45
513.98,-15
515.39,-55
516.39,-25
517.65,-25
519.89,-65
523.15,-35
529.49,-45
532.6,-50
534.94,-55
536.1,-55
537.31,-60
539.09,-60
540.91,-95
542.9,-60
544.43,-65
546.88,-70
547.95,-75
