"age","sl_sm"
0.4136,-22.524
1.64,-17.8575
2.54833333333333,-18.6916666666667
3.68,-7.94
4.31,71.485
5.55,33.245
6.42,14.34
7.67,23.13
8.75,-24.51
NA,NA
10.53,12.69
11.36,-68.38
12.395,61.075
13.49,114.7575
NA,NA
15.595,108.715
16.96,150.96
17.35,130.21
18.53,115.9
19.65,91.5
20.94,130.62
21.27,115.58
22.505,91.735
23.96,90.11
24.58,55.21
NA,NA
26.2,89.64
27.6166666666667,52.6933333333333
28.64,202.38
29,198.13
30.54,218.42
NA,NA
32.5,194.835
33.57,124.08
34.615,161.105
35.91,166.53
36.53,137.28
37.2,129.94
38.51,189.375
NA,NA
40.31,208.45
41.59,145.77
42.51,190.52
43.05,180.68
44.65,227.38
45.27,211.81
46.79,237.75
47.49,189.405
48.72,90.11
49.655,214.595
50.435,219.595
51.365,224.075
52.145,218.18
53.3566666666667,236.59
54.5233333333333,214.01
55.404,188.872
56.44,201.2
57.485,192.2
58.45,193.99
59.3566666666667,144.283333333333
60.56,190.45
61.26,166.06
62.54,199.075
63.45,208.275
64.42,213.7
65.3766666666667,203.516666666667
66.28,191.75
67.3,225
68.635,211.375
69.495,216.5
70.44,191.5
