"age","FAD_cnt","LAD_cnt","total"
0,1,31,32
0.5,1,3,4
1,2,1,3
1.5,1,2,3
2,2,5,7
2.5,0,2,2
3,0,2,2
3.5,4,2,6
4,1,4,5
4.5,4,3,7
5,1,2,3
5.5,5,1,6
6,2,1,3
6.5,1,0,1
7,0,1,1
7.5,0,0,0
8,1,0,1
8.5,2,1,3
9,0,0,0
9.5,2,0,2
10,1,2,3
10.5,1,1,2
11,4,0,4
11.5,0,1,1
12,0,1,1
12.5,1,2,3
13,0,0,0
13.5,1,0,1
14,6,4,10
14.5,0,0,0
15,2,2,4
15.5,0,0,0
16,1,0,1
16.5,2,3,5
17,1,0,1
17.5,1,1,2
18,1,0,1
18.5,1,0,1
19,0,1,1
19.5,0,1,1
20,0,0,0
20.5,0,0,0
21,3,2,5
21.5,2,0,2
22,2,1,3
22.5,2,0,2
23,1,5,6
23.5,0,2,2
24,0,0,0
24.5,1,0,1
25,3,2,5
25.5,0,0,0
26,1,0,1
26.5,4,4,8
27,0,2,2
27.5,2,0,2
28,0,0,0
28.5,1,0,1
29,1,0,1
29.5,3,1,4
30,1,2,3
30.5,5,4,9
31,0,0,0
31.5,0,0,0
32,1,3,4
32.5,2,4,6
33,2,0,2
33.5,1,0,1
34,2,11,13
34.5,0,5,5
35,4,1,5
35.5,0,1,1
36,1,3,4
36.5,1,2,3
37,0,1,1
37.5,3,2,5
38,2,5,7
38.5,1,0,1
39,2,1,3
39.5,1,1,2
40,2,6,8
40.5,0,3,3
41,2,1,3
41.5,2,0,2
42,2,4,6
42.5,3,4,7
43,2,2,4
43.5,9,5,14
44,4,0,4
44.5,4,1,5
45,2,2,4
45.5,2,0,2
46,0,0,0
46.5,3,0,3
47,2,1,3
47.5,2,0,2
48,0,1,1
48.5,2,1,3
49,3,0,3
49.5,0,0,0
50,0,2,2
50.5,1,3,4
51,0,2,2
51.5,2,1,3
52,0,0,0
52.5,0,0,0
53,2,1,3
53.5,0,0,0
54,2,0,2
54.5,2,1,3
55,4,6,10
55.5,2,3,5
56,7,0,7
56.5,1,0,1
57,2,1,3
57.5,3,2,5
58,0,1,1
58.5,0,0,0
59,0,0,0
59.5,2,1,3
60,3,1,4
60.5,2,2,4
61,0,0,0
61.5,4,2,6
62,3,1,4
62.5,4,2,6
63,1,0,1
63.5,1,0,1
64,0,0,0
64.5,1,0,1
65,0,0,0
65.5,2,1,3
66,3,1,4
66.5,0,0,0
67,0,0,0
67.5,0,0,0
68,0,0,0
68.5,0,0,0
69,0,0,0
69.5,0,0,0
70,1,0,1
70.5,0,0,0
71,1,0,1
