"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","mean.lifespan"
"2",0.05,1,42,43,0,42,Inf,1,Inf,0
"3",0.15,1,0,1,41,41,0.024390243902439,0,0.024390243902439,7.48503579753649
"4",0.25,1,0,1,40,40,0.025,0,0.025,7.6674693847826
"5",0.35,0,1,1,39,41,0,0.024390243902439,0.024390243902439,7.85685222896834
"6",0.45,1,0,1,40,40,0.025,0,0.025,7.70815262135734
"7",0.55,0,2,2,39,42,0,0.0476190476190476,0.0476190476190476,7.89551550908446
"8",0.65,0,1,1,41,43,0,0.0232558139534884,0.0232558139534884,8.08835235674258
"9",0.75,0,0,0,42,43,0,0,0,7.9755344434868
"10",0.85,1,2,3,42,44,0.0238095238095238,0.0454545454545455,0.0692640692640693,7.9755344434868
"11",0.95,0,0,0,43,44,0,0,0,8.18917649961834
"12",1.05,0,1,1,43,45,0,0.0222222222222222,0.0222222222222222,8.18917649961834
"13",1.15,0,0,0,44,45,0,0,0,8.09856471700238
"14",1.25,0,0,0,44,45,0,0,0,8.09856471700238
"15",1.35,0,2,2,44,47,0,0.0425531914893617,0.0425531914893617,8.09856471700238
"16",1.45,0,1,1,46,48,0,0.0208333333333333,0.0208333333333333,8.28815587046239
"17",1.55,0,0,0,47,48,0,0,0,8.19121083344052
"18",1.65,1,2,3,47,49,0.0212765957446809,0.0408163265306122,0.0620929222752931,8.19121083344052
"19",1.75,0,0,0,48,49,0,0,0,8.39650099890031
"20",1.85,0,4,4,48,53,0,0.0754716981132075,0.0754716981132075,8.39650099890031
"21",1.95,4,1,5,52,50,0.0769230769230769,0.02,0.0969230769230769,8.19146373461159
"22",2.05,2,2,4,49,50,0.0408163265306122,0.04,0.0808163265306122,8.71607308997147
"23",2.15,0,0,0,49,50,0,0,0,9.25132401370018
"24",2.25,0,0,0,49,50,0,0,0,9.25132401370018
"25",2.35,0,7,7,49,57,0,0.12280701754386,0.12280701754386,9.25132401370018
"26",2.45,1,0,1,56,56,0.0178571428571429,0,0.0178571428571429,9.4915023970365
"27",2.55,1,0,1,55,55,0.0181818181818182,0,0.0181818181818182,9.6189175154176
"28",2.65,1,0,1,54,54,0.0185185185185185,0,0.0185185185185185,9.74931706621881
"29",2.75,0,1,1,53,55,0,0.0181818181818182,0.0181818181818182,9.88286997957713
"30",2.85,0,0,0,54,55,0,0,0,9.912631646622
"31",2.95,0,1,1,54,56,0,0.0178571428571429,0.0178571428571429,9.912631646622
"32",3.05,0,0,0,55,56,0,0,0,9.85482417923888
"33",3.15,0,2,2,55,58,0,0.0344827586206897,0.0344827586206897,9.85482417923888
"34",3.25,0,0,0,57,58,0,0,0,10.1985847343533
"35",3.35,2,2,4,57,58,0.0350877192982456,0.0344827586206897,0.0695704779189353,10.1985847343533
"36",3.45,0,0,0,57,58,0,0,0,11.2299985630427
"37",3.55,2,0,2,57,56,0.0350877192982456,0,0.0350877192982456,11.2299985630427
"38",3.65,1,1,2,55,56,0.0181818181818182,0.0178571428571429,0.036038961038961,11.5090271669162
"39",3.75,2,2,4,55,56,0.0363636363636364,0.0357142857142857,0.0720779220779221,11.5637195602371
"40",3.85,0,2,2,55,58,0,0.0344827586206897,0.0344827586206897,11.6638697578656
"41",3.95,0,0,0,57,58,0,0,0,11.8249550745614
"42",4.05,0,0,0,57,58,0,0,0,11.8249550745614
"43",4.15,0,2,2,57,60,0,0.0333333333333333,0.0333333333333333,11.8249550745614
"44",4.25,1,2,3,59,61,0.0169491525423729,0.0327868852459016,0.0497360377882745,11.5915723392733
"45",4.35,2,1,3,60,60,0.0333333333333333,0.0166666666666667,0.05,11.8913066473583
"46",4.45,3,2,5,59,59,0.0508474576271186,0.0338983050847458,0.0847457627118644,12.1421215768652
"47",4.55,1,2,3,58,60,0.0172413793103448,0.0333333333333333,0.0505747126436782,12.3752535738211
"48",4.65,3,0,3,59,57,0.0508474576271186,0,0.0508474576271186,12.4194781412563
"49",4.75,0,0,0,56,57,0,0,0,12.8378430416808
"50",4.85,1,4,5,56,60,0.0178571428571429,0.0666666666666667,0.0845238095238095,12.8378430416808
"51",4.95,1,0,1,59,59,0.0169491525423729,0,0.0169491525423729,13.2418100064748
"52",5.05,2,1,3,58,58,0.0344827586206897,0.0172413793103448,0.0517241379310345,13.3853797113573
"53",5.15,0,0,0,57,58,0,0,0,13.5436581826212
"54",5.25,1,0,1,57,57,0.0175438596491228,0,0.0175438596491228,13.5436581826212
"55",5.35,0,2,2,56,59,0,0.0338983050847458,0.0338983050847458,13.6923032529078
"56",5.45,1,0,1,58,58,0.0172413793103448,0,0.0172413793103448,13.5335252229667
"57",5.55,2,1,3,57,57,0.0350877192982456,0.0175438596491228,0.0526315789473684,13.6752478876971
"58",5.65,1,0,1,56,56,0.0178571428571429,0,0.0178571428571429,13.8304978499774
"59",5.75,3,0,3,55,53,0.0545454545454545,0,0.0545454545454545,13.9791319017951
"60",5.85,2,2,4,52,53,0.0384615384615385,0.0377358490566038,0.0761973875181422,14.4560048961295
"61",5.95,0,2,2,52,55,0,0.0363636363636364,0.0363636363636364,14.7101907131776
"62",6.05,2,0,2,54,53,0.037037037037037,0,0.037037037037037,14.7652947608377
"63",6.15,1,0,1,52,52,0.0192307692307692,0,0.0192307692307692,15.1009873360669
"64",6.25,2,0,2,51,50,0.0392156862745098,0,0.0392156862745098,15.2766929701074
"65",6.35,0,0,0,49,50,0,0,0,15.6460726721872
"66",6.45,0,0,0,49,50,0,0,0,15.6460726721872
"67",6.55,0,0,0,49,50,0,0,0,15.6460726721872
"68",6.65,1,0,1,49,49,0.0204081632653061,0,0.0204081632653061,15.6460726721872
"69",6.75,1,0,1,48,48,0.0208333333333333,0,0.0208333333333333,15.8343641521775
"70",6.85,0,0,0,47,48,0,0,0,16.0280054971058
"71",6.95,0,1,1,47,49,0,0.0204081632653061,0.0204081632653061,16.0280054971058
"72",7.05,0,0,0,48,49,0,0,0,15.9814597476621
"73",7.15,1,0,1,48,48,0.0208333333333333,0,0.0208333333333333,15.9814597476621
"74",7.25,0,0,0,47,48,0,0,0,16.1689877185235
"75",7.35,1,0,1,47,47,0.0212765957446809,0,0.0212765957446809,16.1689877185235
"76",7.45,0,0,0,46,47,0,0,0,16.3602876144734
"77",7.55,0,0,0,46,47,0,0,0,16.3602876144734
"78",7.65,0,0,0,46,47,0,0,0,16.3602876144734
"79",7.75,1,0,1,46,46,0.0217391304347826,0,0.0217391304347826,16.3602876144734
"80",7.85,0,0,0,45,46,0,0,0,16.5511320663477
"81",7.95,0,0,0,45,46,0,0,0,16.5511320663477
