format version:	1.3						
date:	11/7/16						
default chronostrat:	UNESCO						
age units:	Ma						
chart title:	TimeScale Creator GTS2016 chart						
							
							
Standard Chronostratigraphy	:	Eon	Era	Sub-Era	Period	Sub-Period	Epoch
							
							
Eon	block	100	UNESCO-Named		off		
	TOP	0					
	Phanerozoic	541		FAD of trace fossil Tr. pedum	154/217/221		
	Proterozoic	2500			247/53/99		
	Archean	4000			240/4/127		
	Hadean (informal)	4600			174/2/126		
							
							
Era	block	100	UNESCO-Named		off		
	TOP	0					
	Cenozoic	66.04		"Mesozoic/Cenozoic boundary event is approx. Chron C29r.5 in total C29r span of ca. 710 kyr, according to cycles; Husson et al., 2011; Thibault et al., 2012); which agrees with Ar-Ar (Renne et al., 2013); but cycle-scaling relative to 405-kyr in La2011 astronomical solution (e.g., Hilgen et al., 2014) indicates 65.97 (about 70kyr younger)"	242/249/29		
	Mesozoic	251.9		"FAD of H. parvus = Base of Triassic (base of Mesozoic), by definition at Meishan GSSP boundary with dating = 251.90 Ma = FIXED age (Burgess et al., 2014).  In GTS2012, was 252.16 Ma (from Shen et al., 2010; Bowring ages in Lopingian paper)."	103/197/202		
	Paleozoic	541		FAD of trace fossil Tr. pedum	153/192/141		
	Neoproterozoic	1000			254/179/66		
	Mesoproterozoic	1600			253/180/98		
	Paleoproterozoic	2500			247/67/112		
	Neoarchean	2800			249/155/193		
	Mesoarchean	3200			247/104/169		
	Paleoarchean	3600			244/68/159		
	Eoarchean	4000			218/3/127		
	Hadean (informal)	4600			174/2/126		
							
							
Sub-Era	block	90	UNESCO-Named		off		
	TOP	0					
	-	2.588		"The Quaternary was a sub-era in some earlier time-scales (e.g., Harland et al, 1982, 1989, ICS 2006)"	249/249/127		
	Tertiary (informal)	66.04	Tertiary is an informal sub-era.	242/249/29			
							
							
							
Period	block	100	UNESCO-Named				
	TOP	0					
	Quaternary	2.58		"Major expansion of N.Hemis. glaciation begins near Guss/Matuyama boundary [accepted in 2009 for base of ""Quaternary"", hence base of revised ""Pleistocene""].  Gelasian stage was transferred to Pleistocene series by IUGS/ICS/INQUA (submitted May 2007; but was not ratified by IUGS until summer 2009 after another round of ICS voting and resubmission).  This enabled formalization of the Quaternary as an official system of the international scale."	249/249/127		
	Neogene	23.03		"Base of Miocene (base of Neogene Period) = base of Chron C6Cn.2n. The GSSP of the Oligocene/Miocene boundary is defined as 35m level of Rigorosa Formation in the Lemme-Carrosio sections of NE Italy, corresponding also to the FAD of Foram Globorotalia kugleri (base of Foram Zone M1) (Berggren et al., 1995; Steininger et al., in press)"	255/230/25		
	Paleogene	66.04		"Mesozoic/Cenozoic boundary event is approx. Chron C29r.5 in total C29r span of ca. 710 kyr, according to cycles; Husson et al., 2011; Thibault et al., 2012); which agrees with Ar-Ar (Renne et al., 2013); but cycle-scaling relative to 405-kyr in La2011 astronomical solution (e.g., Hilgen et al., 2014) indicates 65.97 (about 70kyr younger)"	253/154/82		
	Cretaceous	145.01	dotted	Not yet defined.  Higher option is Base of Chron M18r for GTS2012.	127/198/78		
	 - 	145.73		Voting by Jur-Cret Boundary Working Group (June2016) was to use the Base of Calp. alpina zone (Calp. B)	127/198/78		
