age	genera_ts	genera_prokoph	oxy_18	carbon_13	sr87_86	s34	LIP	LIP_volume1	LIP_volume2	impact	passive_margin	sl	
1	1	5	227.3	-3.435671141	0.156845638	0.709154	21.8869	0	0	0	4	0	26
2	2	7	161.1	-3.117953216	0.259064327	0.709080667	22.0149	0	0	0	0.5	0	53.58666667
3	3	93	198.2	-2.704122807	0.375526316	0.709057	21.5815	0	0	0	1	0	58.97
4	4	35	114	-2.431975309	0.62962963	0.7090495	21.596	0	0	0	1	0.5	71.605
5	5	136	150.5	-2.338043478	0.598913043	0.709022	21.9447	0	0	0	1.5	1	59.28
6	6	0	-13.7	-2.393432836	0.537910448	0.708995	21.9649	0	0	0	0	0	96.56
7	7	30	22.3	-2.284130435	0.715869565	0.7089555	22.32	0	0	0	0	0	101.9
8	8	0	20	-2.3148	0.8184	0.70893325	22.0065	0	0	0	0	0	107.24
9	9	0	55.5	-2.264615385	1.189615385	0.708911	22.0175	0	0	0	0	0	101.9466667
10	10	0	90.7	-2.1948	0.998	0.7088495	21.9316	0	0	0	0	0.5	96.65333333
11	11	0	125.7	-2.171724138	0.924642857	0.70884175	22.2279	0	0	0	0	0	91.36
12	12	101	183.4	-2.171190476	0.983023256	0.708834	22.4396	0	0	0	0	0	134.33
13	13	0	217.9	-1.997333333	1.082333333	0.708806	22.0326	0	0	0	0	0	144.5
14	14	0	252.1	-1.766304348	1.45625	0.7087945	21.9688	0	0	0	0	0	119.89
15	15	0	286	-1.339230769	1.410769231	0.708786	21.8751	0	0	0	1	0	137.16
16	16	102	91.7	-1.351818182	1.487954545	0.708675	22.09	0	18.9	18.9	0	0	142.715
17	17	0	125.1	-1.506	1.176333333	0.7086485	21.9	0.5	139.6	139.6	0	0	148.27
18	18	0	158.3	-1.506	0.7836	0.708622	21.8	0	18.9	18.9	0	0	143.87
19	19	0	191.3	-1.531896552	0.821034483	0.7085595	21.56	0	0	0	0	0	140.88
20	20	53	223.9	-1.513793103	0.719310345	0.708497	22.0059	0	0	0	0	0	107.53
21	21	0	-1.6	-1.49122807	0.815263158	0.708371	22	0	0	0	0	0	135.27
22	22	0	30.6	-1.385853659	1.103902439	0.708282	21.9001	0	0	0	0	0	118.29
23	23	132	62.5	-1.533831776	1.121028037	0.708248	21.8988	0	0	0	0	0.5	126.425
24	24	0	-90.8	-1.258737864	0.723203883	0.70819	21.6795	0	0	0	0	0	134.56
25	25	0	-59.4	-1.395	0.61725	0.708132	21.7	1	0	0	0	0	142.46
26	26	0	-28.2	-1.581805556	0.624305556	0.70811	21.7	0	0	0	0	1	150.36
27	27	0	2.8	-1.899428571	0.602285714	0.708088	21.3231	0	0	0	0	0	145.4
28	28	113	33.5	-1.795333333	0.416	0.708034	21.3187	0	0.3	0.3	0	1	140.44
29	29	0	-122.1	-1.749189189	0.392702703	0.707993	21.3221	0	129.6	129.6	0	0.5	205.35
30	30	0	-91.8	-1.716571429	0.567142857	0.707961	21.4021	0	957.5	957.5	0	0	207.085
31	31	6	-61.8	-1.703508772	0.853508772	0.7079295	21.5722	0.5	129.6	129.6	0	1	208.82
32	32	0	-32.1	-1.684714286	0.867142857	0.707898	21.7698	0	0.3	0.4	0	0	201.425
33	33	0	-2.6	-1.886851852	1.184444444	0.707851	21.6497	0.5	0	0.1	0	0	194.03
34	34	144	124.7	-1.510238095	1.130952381	0.707804	21.9439	0	0.1	0.2	0	0.5	202.75
35	35	0	153.7	-1.084	1.0525	0.70778	22.2687	0	0.1	0.3	1	0.5	200.275
36	36	0	182.5	-0.876842105	1.124210526	0.707757	22.1497	0	0.2	0.4	1	0.5	197.8
37	37	0	211	-0.800285714	1.078857143	0.707744	22.3	0	0.4	0.7	1	1	166.09
38	38	115	19.9	-0.925	0.8125	0.707731	22.5641	0	0.5	1.1	0	0	196.09
39	39	0	48	-0.812857143	0.752857143	0.707727	22.4314	0	0.8	1.6	0.5	0	192.785
40	40	0	75.8	-0.259069767	1.041395349	0.707723	22.1558	0	1.1	2.2	1	0	189.48
41	41	81	-72.6	-0.473913043	0.709130435	0.7077305	22.389	0	1.5	3	0	0	191.93
42	42	0	-45.2	-0.389	0.644	0.707738	22.4	0	1.9	3.9	0	0	194.38
43	43	0	-18	-0.346666667	0.821111111	0.707755	22.4	0	2.4	4.8	0	0.5	196.83
44	44	0	8.9	-0.304285714	0.654285714	0.707763	22.4	0	2.9	5.8	0.5	0.5	208.165
45	45	0	35.6	-0.245	0.623333333	0.707741	22.0003	0	3.3	6.7	0.5	0	219.5
46	46	0	62.1	-0.165714286	0.624285714	0.707719	22	0	3.7	7.4	1	0.5	209.1
47	47	0	88.3	0.14	0.748	0.707715	22	0	3.9	7.8	0	0	198.7
