format version:	1.2
date:	12/6/2012

ACTINOPODA	:	ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	RADIOLARIA (intricate mineral skeletons with inner and outer portion)	_METACOLUMN_OFF

ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	:	Order unnamed ACANTHARIA 

Order unnamed ACANTHARIA 	event					[For details click <a href="http://tolweb.org/notes/?note_id=52">Order unnamed ACANTHARIA </a>]. Order not named. 
FAD
	Astrolithium	23.03
	Chiastolus	55.96
LAD
	Astrolithium, Chiastolus	0.00


RADIOLARIA (intricate mineral skeletons with inner and outer portion)	:	NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	SPUMELLARIA (colonial, simple central capsule, no initial spicule)	ACTINOPODA - INCERTAE SEDIS	_METACOLUMN_ON

NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	event				on	[For details click <a href="http://tolweb.org/notes/?note_id=51">NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)</a>]. 
FAD
	Anthocyrtis, Bisphaerocephalina, Halicalyptra, Plagionium	0.01
	Haliphormis, Lamprocyrtis, Peromelissa, Trissopilium	5.33
	Acrobotrys, Marimoum, Nephrospyris, Tripodocyrtis	11.63
	Lithopera	15.97
	Botryostrobus, Cyrtocapsella, Neosemantis, Spirocyrtis, Stichocorys	20.44
	Acerahedrina, Acerocanium, Antarctissa, Anthocyrtidium, Calocycletta, Carpocanarium, Cyrtocapsella, Lophospyris, Salpingocapsa, Siphostichartus, Spirocampe, Syringium, Tripodonium, Tripophaenoscenium, Tympanomma	23.03
	Carpocanopsis, Didymocyrtis, Lychnodictyum	28.09
	Centrobotrys, Cyclampterium, Dorcadospyris, Lamprocyclas, Phormostichoartus, Pterocanium, Tholospyris	33.89
	Bathrocalpis, Callimitra, Carpocanistrum, Carpocanium, Eucoronis, Lithobotrys, Lychnocanoma, Phormospyris, Tripodospyris	37.75
	Artophormis, Cryptopora, Sethochytris	41.15
	Giraffospyris, Zygocircus	47.84
