"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability"
"2",0.1,0,0,0,711,711,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"3",0.2,0,0,0,711,711,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"4",0.3,0,0,0,711,711,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"5",0.4,0,0,0,711,711,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"6",0.5,0,0,0,711,711,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"7",0.6,0,0,0,711,711,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"8",0.7,0,0,0,711,711,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"9",0.8,0,0,0,711,711,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"10",0.9,2,3,5,711,712,0.00281293952180028,0.00421348314606742,0.0070264226678677,3,0.0113684239900045,2,0.0174456221354357,0.0288140461254402
"11",1,0,0,0,712,712,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"12",1.1,0,0,0,712,712,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"13",1.2,0,0,0,712,712,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"14",1.3,0,0,0,712,712,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"15",1.4,0,0,0,712,712,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"16",1.5,0,0,0,712,712,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"17",1.6,0,0,0,712,712,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"18",1.7,3,0,3,712,709,0.00421348314606742,0,0.00421348314606742,3,0.0113684239900045,1,2.39177671123051e-06,0.0113708157667157
