"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability","raw.turnover.probability"
"1",0,10,198,208,523,711,0.0191204588910134,0.278481012658228,5,0.111818565405977,1,0.259568089356776,0.371386654762754,0.297601471549241
"2",0.1,0,0,0,711,711,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"3",0.2,0,0,0,711,711,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"4",0.3,0,0,0,711,711,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"5",0.4,0,0,0,711,711,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"6",0.5,0,0,0,711,711,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"7",0.6,0,0,0,711,711,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"8",0.7,0,0,0,711,711,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"9",0.8,0,0,0,711,711,0,0,4,2.07991163519051e-61,4,5.98912062592184e-38,5.98912062592184e-38,0
"10",0.9,2,3,5,711,712,0.00281293952180028,0.00421348314606742,3,3.70224524472115e-05,2,0.0241217189738796,0.0241587414263268,0.0070264226678677
"11",1,0,0,0,712,712,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"12",1.1,0,0,0,712,712,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"13",1.2,0,0,0,712,712,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"14",1.3,0,0,0,712,712,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"15",1.4,0,0,0,712,712,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"16",1.5,0,0,0,712,712,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"17",1.6,0,0,0,712,712,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"18",1.7,3,0,3,712,709,0.00421348314606742,0,3,3.70224524472115e-05,4,5.98912062592184e-38,3.70224524472115e-05,0.00421348314606742
"19",1.8,0,4,4,709,713,0,0.00561009817671809,3,3.70224524472115e-05,2,0.0241217189738796,0.0241587414263268,0.00561009817671809
"20",1.9,0,0,0,713,713,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"21",2,0,0,0,713,713,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"22",2.1,0,0,0,713,713,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"23",2.2,0,0,0,713,713,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"24",2.3,0,0,0,713,713,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"25",2.4,0,0,0,713,713,0,0,3,3.70224524472115e-05,5,1.36186189387746e-06,3.8384314341089e-05,0
"26",2.5,0,0,0,713,713,0,0,3,3.70224524472115e-05,4,5.98912062592184e-38,3.70224524472115e-05,0
"27",2.6,42,51,93,713,722,0.05890603085554,0.0706371191135734,2,0.0382449778261186,3,0.0943959078005308,0.132640885626649,0.129543149969113
"28",2.7,0,0,0,722,722,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"29",2.8,0,0,0,722,722,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"30",2.9,0,0,0,722,722,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"31",3,0,0,0,722,722,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"32",3.1,0,0,0,722,722,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"33",3.2,0,0,0,722,722,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"34",3.3,0,0,0,722,722,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"35",3.4,0,0,0,722,722,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"36",3.5,0,0,0,722,722,0,0,3,3.70224524472115e-05,4,5.98912062592184e-38,3.70224524472115e-05,0
"37",3.6,18,17,35,722,721,0.0249307479224377,0.0235783633841886,2,0.0382449778261186,2,0.0241217189738796,0.0623666967999982,0.0485091113066263
"38",3.7,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"39",3.8,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"40",3.9,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"41",4,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"42",4.1,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"43",4.2,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"44",4.3,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"45",4.4,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"46",4.5,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"47",4.6,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"48",4.7,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"49",4.8,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"50",4.9,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"51",5,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"52",5.1,0,0,0,721,721,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"53",5.2,0,0,0,721,721,0,0,3,3.70224524472115e-05,4,5.98912062592184e-38,3.70224524472115e-05,0
"54",5.3,67,69,136,721,723,0.0929264909847434,0.0954356846473029,5,0.111818565405977,3,0.0943959078005308,0.206214473206508,0.188362175632046
"55",5.4,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"56",5.5,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"57",5.6,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"58",5.7,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"59",5.8,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"60",5.9,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"61",6,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"62",6.1,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"63",6.19999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"64",6.29999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"65",6.39999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"66",6.49999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"67",6.59999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"68",6.69999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"69",6.79999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"70",6.89999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"71",6.99999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"72",7.09999999999999,0,0,0,723,723,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"73",7.19999999999999,0,0,0,723,723,0,0,3,3.70224524472115e-05,4,5.98912062592184e-38,3.70224524472115e-05,0
"74",7.29999999999999,12,18,30,723,729,0.016597510373444,0.0246913580246914,2,0.0382449778261186,2,0.0241217189738796,0.0623666967999982,0.0412888683981353
"75",7.39999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"76",7.49999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
"77",7.59999999999999,0,0,0,729,729,0,0,4,2.07991163519051e-61,5,1.36186189387746e-06,1.36186189387746e-06,0
