"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability"
"2",0.5,0,0,0,711,711,0,0,0
"3",1,2,3,5,711,712,0.00281293952180028,0.00421348314606742,0.0070264226678677
"4",1.5,3,0,3,712,709,0.00421348314606742,0,0.00421348314606742
"5",2,0,4,4,709,713,0,0.00561009817671809,0.00561009817671809
"6",2.5,42,51,93,713,722,0.05890603085554,0.0706371191135734,0.129543149969113
"7",3,0,0,0,722,722,0,0,0
"8",3.5,18,17,35,722,721,0.0249307479224377,0.0235783633841886,0.0485091113066263
"9",4,0,0,0,721,721,0,0,0
"10",4.5,0,0,0,721,721,0,0,0
"11",5,0,0,0,721,721,0,0,0
"12",5.5,67,69,136,721,723,0.0929264909847434,0.0954356846473029,0.188362175632046
"13",6,0,0,0,723,723,0,0,0
"14",6.5,0,0,0,723,723,0,0,0
"15",7,0,0,0,723,723,0,0,0
"16",7.5,12,18,30,723,729,0.016597510373444,0.0246913580246914,0.0412888683981353
"17",8,0,0,0,729,729,0,0,0
"18",8.5,0,0,0,729,729,0,0,0
"19",9,0,0,0,729,729,0,0,0
"20",9.5,0,0,0,729,729,0,0,0
"21",10,0,0,0,729,729,0,0,0
"22",10.5,0,0,0,729,729,0,0,0
"23",11,0,0,0,729,729,0,0,0
"24",11.5,53,48,101,729,724,0.0727023319615912,0.0662983425414365,0.139000674503028
"25",12,0,0,0,724,724,0,0,0
"26",12.5,0,0,0,724,724,0,0,0
"27",13,0,0,0,724,724,0,0,0
"28",13.5,0,0,0,724,724,0,0,0
"29",14,0,0,0,724,724,0,0,0
"30",14.5,0,0,0,724,724,0,0,0
"31",15,0,0,0,724,724,0,0,0
"32",15.5,0,0,0,724,724,0,0,0
"33",16,64,38,102,724,698,0.0883977900552486,0.0544412607449857,0.142839050800234
"34",16.5,0,0,0,698,698,0,0,0
"35",17,0,0,0,698,698,0,0,0
"36",17.5,0,0,0,698,698,0,0,0
"37",18,0,0,0,698,698,0,0,0
"38",18.5,0,0,0,698,698,0,0,0
"39",19,0,0,0,698,698,0,0,0
"40",19.5,0,0,0,698,698,0,0,0
"41",20,0,0,0,698,698,0,0,0
"42",20.5,37,16,53,698,677,0.0530085959885387,0.0236336779911374,0.076642273979676
"43",21,0,0,0,677,677,0,0,0
"44",21.5,0,0,0,677,677,0,0,0
"45",22,0,0,0,677,677,0,0,0
"46",22.5,0,0,0,677,677,0,0,0
"47",23,83,49,132,677,643,0.122599704579025,0.0762052877138414,0.198804992292866
"48",23.5,0,0,0,643,643,0,0,0
"49",24,0,0,0,643,643,0,0,0
"50",24.5,0,0,0,643,643,0,0,0
"51",25,0,0,0,643,643,0,0,0
