"","X.1","X","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability"
"1",1,2,0.5,0,0,0,711,711,0,0,0,6,0.000195223214584221,4,0,0.000195223214584221
"2",2,3,1,2,3,5,711,712,0.00281293952180028,0.00421348314606742,0.0070264226678677,6,0.000195223214584221,7,0.00618799058653039,0.00638321380111461
"3",3,4,1.5,3,0,3,712,709,0.00421348314606742,0,0.00421348314606742,6,0.000195223214584221,4,0,0.000195223214584221
"4",4,5,2,0,4,4,709,713,0,0.00561009817671809,0.00561009817671809,6,0.000195223214584221,7,0.00618799058653039,0.00638321380111461
"5",5,6,2.5,42,51,93,713,722,0.05890603085554,0.0706371191135734,0.129543149969113,5,0.0719591206446811,6,0.0989071361694721,0.170866256814153
"6",6,7,3,0,0,0,722,722,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"7",7,8,3.5,18,17,35,722,721,0.0249307479224377,0.0235783633841886,0.0485091113066263,4,0.0269566795193272,3,0.0329385147723402,0.0598951942916675
"8",8,9,4,0,0,0,721,721,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"9",9,10,4.5,0,0,0,721,721,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"10",10,11,5,0,0,0,721,721,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"11",11,12,5.5,67,69,136,721,723,0.0929264909847434,0.0954356846473029,0.188362175632046,5,0.0719591206446811,6,0.0989071361694721,0.170866256814153
"12",12,13,6,0,0,0,723,723,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"13",13,14,6.5,0,0,0,723,723,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
