"","age","N speciations","N extinctions","N turnover","N species (speciation)","N species (extinction)","raw speciation probability","raw extinction probability","raw turnover probability"
"2",0.05,0,0,0,711,711,0,0,0
"3",0.1,0,0,0,711,711,0,0,0
"4",0.15,0,0,0,711,711,0,0,0
"5",0.2,0,0,0,711,711,0,0,0
"6",0.25,0,0,0,711,711,0,0,0
"7",0.3,0,0,0,711,711,0,0,0
"8",0.35,0,0,0,711,711,0,0,0
"9",0.4,0,0,0,711,711,0,0,0
"10",0.45,0,0,0,711,711,0,0,0
"11",0.5,0,0,0,711,711,0,0,0
"12",0.55,0,0,0,711,711,0,0,0
"13",0.6,0,0,0,711,711,0,0,0
"14",0.65,0,0,0,711,711,0,0,0
"15",0.7,0,0,0,711,711,0,0,0
"16",0.75,0,0,0,711,711,0,0,0
"17",0.8,0,0,0,711,711,0,0,0
"18",0.85,0,0,0,711,711,0,0,0
"19",0.9,2,3,5,711,712,0.00281293952180028,0.00421348314606742,0.0070264226678677
"20",0.95,0,0,0,712,712,0,0,0
"21",1,0,0,0,712,712,0,0,0
"22",1.05,0,0,0,712,712,0,0,0
"23",1.1,0,0,0,712,712,0,0,0
"24",1.15,0,0,0,712,712,0,0,0
"25",1.2,0,0,0,712,712,0,0,0
"26",1.25,0,0,0,712,712,0,0,0
"27",1.3,0,0,0,712,712,0,0,0
"28",1.35,0,0,0,712,712,0,0,0
"29",1.4,0,0,0,712,712,0,0,0
"30",1.45,0,0,0,712,712,0,0,0
"31",1.5,0,0,0,712,712,0,0,0
"32",1.55,0,0,0,712,712,0,0,0
"33",1.6,0,0,0,712,712,0,0,0
"34",1.65,0,0,0,712,712,0,0,0
"35",1.7,0,0,0,712,712,0,0,0
"36",1.75,3,0,3,712,709,0.00421348314606742,0,0.00421348314606742
"37",1.8,0,4,4,709,713,0,0.00561009817671809,0.00561009817671809
"38",1.85,0,0,0,713,713,0,0,0
"39",1.9,0,0,0,713,713,0,0,0
"40",1.95,0,0,0,713,713,0,0,0
"41",2,0,0,0,713,713,0,0,0
"42",2.05,0,0,0,713,713,0,0,0
"43",2.1,0,0,0,713,713,0,0,0
"44",2.15,0,0,0,713,713,0,0,0
"45",2.2,0,0,0,713,713,0,0,0
"46",2.25,0,0,0,713,713,0,0,0
"47",2.3,0,0,0,713,713,0,0,0
"48",2.35,0,0,0,713,713,0,0,0
"49",2.4,0,0,0,713,713,0,0,0
"50",2.45,0,0,0,713,713,0,0,0
"51",2.5,0,0,0,713,713,0,0,0
"52",2.55,0,0,0,713,713,0,0,0
"53",2.6,42,51,93,713,722,0.05890603085554,0.0706371191135734,0.129543149969113
"54",2.65,0,0,0,722,722,0,0,0
"55",2.7,0,0,0,722,722,0,0,0
"56",2.75,0,0,0,722,722,0,0,0
"57",2.8,0,0,0,722,722,0,0,0
"58",2.85,0,0,0,722,722,0,0,0
"59",2.9,0,0,0,722,722,0,0,0
"60",2.95,0,0,0,722,722,0,0,0
"61",3,0,0,0,722,722,0,0,0
"62",3.05,0,0,0,722,722,0,0,0
"63",3.1,0,0,0,722,722,0,0,0
"64",3.15,0,0,0,722,722,0,0,0
"65",3.2,0,0,0,722,722,0,0,0
"66",3.25,0,0,0,722,722,0,0,0
"67",3.3,0,0,0,722,722,0,0,0
"68",3.35,0,0,0,722,722,0,0,0
"69",3.4,0,0,0,722,722,0,0,0
"70",3.45,0,0,0,722,722,0,0,0
"71",3.5,0,0,0,722,722,0,0,0
"72",3.55,0,0,0,722,722,0,0,0
"73",3.6,18,17,35,722,721,0.0249307479224377,0.0235783633841886,0.0485091113066263
"74",3.65,0,0,0,721,721,0,0,0
"75",3.7,0,0,0,721,721,0,0,0
"76",3.75,0,0,0,721,721,0,0,0
"77",3.79999999999999,0,0,0,721,721,0,0,0
"78",3.84999999999999,0,0,0,721,721,0,0,0
"79",3.89999999999999,0,0,0,721,721,0,0,0
"80",3.94999999999999,0,0,0,721,721,0,0,0
"81",3.99999999999999,0,0,0,721,721,0,0,0
"82",4.04999999999999,0,0,0,721,721,0,0,0
"83",4.09999999999999,0,0,0,721,721,0,0,0
"84",4.14999999999999,0,0,0,721,721,0,0,0
"85",4.19999999999999,0,0,0,721,721,0,0,0
"86",4.24999999999999,0,0,0,721,721,0,0,0
"87",4.29999999999999,0,0,0,721,721,0,0,0
"88",4.34999999999999,0,0,0,721,721,0,0,0
"89",4.39999999999999,0,0,0,721,721,0,0,0
"90",4.44999999999999,0,0,0,721,721,0,0,0
"91",4.49999999999999,0,0,0,721,721,0,0,0
"92",4.54999999999999,0,0,0,721,721,0,0,0
"93",4.59999999999999,0,0,0,721,721,0,0,0
"94",4.64999999999999,0,0,0,721,721,0,0,0
"95",4.69999999999999,0,0,0,721,721,0,0,0
"96",4.74999999999999,0,0,0,721,721,0,0,0
"97",4.79999999999999,0,0,0,721,721,0,0,0
"98",4.84999999999999,0,0,0,721,721,0,0,0
"99",4.89999999999999,0,0,0,721,721,0,0,0
"100",4.94999999999999,0,0,0,721,721,0,0,0
"101",4.99999999999999,0,0,0,721,721,0,0,0
"102",5.04999999999999,0,0,0,721,721,0,0,0
"103",5.09999999999999,0,0,0,721,721,0,0,0
"104",5.14999999999999,0,0,0,721,721,0,0,0
"105",5.19999999999999,0,0,0,721,721,0,0,0
"106",5.24999999999999,0,0,0,721,721,0,0,0
"107",5.29999999999999,0,0,0,721,721,0,0,0
"108",5.34999999999999,67,69,136,721,723,0.0929264909847434,0.0954356846473029,0.188362175632046
"109",5.39999999999999,0,0,0,723,723,0,0,0
"110",5.44999999999999,0,0,0,723,723,0,0,0
"111",5.49999999999999,0,0,0,723,723,0,0,0
"112",5.54999999999999,0,0,0,723,723,0,0,0
"113",5.59999999999999,0,0,0,723,723,0,0,0
"114",5.64999999999999,0,0,0,723,723,0,0,0
"115",5.69999999999999,0,0,0,723,723,0,0,0
"116",5.74999999999999,0,0,0,723,723,0,0,0
"117",5.79999999999999,0,0,0,723,723,0,0,0
"118",5.84999999999999,0,0,0,723,723,0,0,0
"119",5.89999999999999,0,0,0,723,723,0,0,0
"120",5.94999999999999,0,0,0,723,723,0,0,0
"121",5.99999999999999,0,0,0,723,723,0,0,0
"122",6.04999999999999,0,0,0,723,723,0,0,0
"123",6.09999999999999,0,0,0,723,723,0,0,0
"124",6.14999999999999,0,0,0,723,723,0,0,0
"125",6.19999999999999,0,0,0,723,723,0,0,0
"126",6.24999999999999,0,0,0,723,723,0,0,0
"127",6.29999999999999,0,0,0,723,723,0,0,0
"128",6.34999999999999,0,0,0,723,723,0,0,0
"129",6.39999999999999,0,0,0,723,723,0,0,0
"130",6.44999999999999,0,0,0,723,723,0,0,0
"131",6.49999999999999,0,0,0,723,723,0,0,0
"132",6.54999999999998,0,0,0,723,723,0,0,0
"133",6.59999999999999,0,0,0,723,723,0,0,0
"134",6.64999999999998,0,0,0,723,723,0,0,0
"135",6.69999999999999,0,0,0,723,723,0,0,0
"136",6.74999999999998,0,0,0,723,723,0,0,0
"137",6.79999999999998,0,0,0,723,723,0,0,0
"138",6.84999999999998,0,0,0,723,723,0,0,0
"139",6.89999999999998,0,0,0,723,723,0,0,0
"140",6.94999999999998,0,0,0,723,723,0,0,0
"141",6.99999999999998,0,0,0,723,723,0,0,0
"142",7.04999999999998,0,0,0,723,723,0,0,0
"143",7.09999999999998,0,0,0,723,723,0,0,0
"144",7.14999999999998,0,0,0,723,723,0,0,0
"145",7.19999999999998,0,0,0,723,723,0,0,0
"146",7.24999999999998,12,18,30,723,729,0.016597510373444,0.0246913580246914,0.0412888683981353
"147",7.29999999999998,0,0,0,729,729,0,0,0
"148",7.34999999999998,0,0,0,729,729,0,0,0
"149",7.39999999999998,0,0,0,729,729,0,0,0
"150",7.44999999999998,0,0,0,729,729,0,0,0
"151",7.49999999999998,0,0,0,729,729,0,0,0
"152",7.54999999999998,0,0,0,729,729,0,0,0
"153",7.59999999999998,0,0,0,729,729,0,0,0
"154",7.64999999999998,0,0,0,729,729,0,0,0
"155",7.69999999999998,0,0,0,729,729,0,0,0
"156",7.74999999999998,0,0,0,729,729,0,0,0
"157",7.79999999999998,0,0,0,729,729,0,0,0
"158",7.84999999999998,0,0,0,729,729,0,0,0
"159",7.89999999999998,0,0,0,729,729,0,0,0
"160",7.94999999999998,0,0,0,729,729,0,0,0
"161",7.99999999999998,0,0,0,729,729,0,0,0
"162",8.04999999999998,0,0,0,729,729,0,0,0
"163",8.09999999999998,0,0,0,729,729,0,0,0
"164",8.14999999999998,0,0,0,729,729,0,0,0
"165",8.19999999999998,0,0,0,729,729,0,0,0
"166",8.24999999999998,0,0,0,729,729,0,0,0
"167",8.29999999999998,0,0,0,729,729,0,0,0
"168",8.34999999999999,0,0,0,729,729,0,0,0
"169",8.39999999999999,0,0,0,729,729,0,0,0
"170",8.44999999999999,0,0,0,729,729,0,0,0
"171",8.49999999999999,0,0,0,729,729,0,0,0
"172",8.54999999999999,0,0,0,729,729,0,0,0
"173",8.59999999999999,0,0,0,729,729,0,0,0
"174",8.64999999999999,0,0,0,729,729,0,0,0
"175",8.69999999999999,0,0,0,729,729,0,0,0
"176",8.74999999999999,0,0,0,729,729,0,0,0
"177",8.79999999999999,0,0,0,729,729,0,0,0
"178",8.84999999999999,0,0,0,729,729,0,0,0
"179",8.89999999999999,0,0,0,729,729,0,0,0
"180",8.94999999999999,0,0,0,729,729,0,0,0
"181",8.99999999999999,0,0,0,729,729,0,0,0
"182",9.05,0,0,0,729,729,0,0,0
"183",9.1,0,0,0,729,729,0,0,0
"184",9.15,0,0,0,729,729,0,0,0
"185",9.2,0,0,0,729,729,0,0,0
"186",9.25,0,0,0,729,729,0,0,0
"187",9.3,0,0,0,729,729,0,0,0
"188",9.35,0,0,0,729,729,0,0,0
"189",9.4,0,0,0,729,729,0,0,0
"190",9.45,0,0,0,729,729,0,0,0
"191",9.5,0,0,0,729,729,0,0,0
"192",9.55,0,0,0,729,729,0,0,0
"193",9.6,0,0,0,729,729,0,0,0
"194",9.65,0,0,0,729,729,0,0,0
"195",9.7,0,0,0,729,729,0,0,0
"196",9.75000000000001,0,0,0,729,729,0,0,0
"197",9.80000000000001,0,0,0,729,729,0,0,0
"198",9.85000000000001,0,0,0,729,729,0,0,0
"199",9.90000000000001,0,0,0,729,729,0,0,0
"200",9.95000000000001,0,0,0,729,729,0,0,0
"201",10,0,0,0,729,729,0,0,0
"202",10.05,0,0,0,729,729,0,0,0
"203",10.1,0,0,0,729,729,0,0,0
"204",10.15,0,0,0,729,729,0,0,0
"205",10.2,0,0,0,729,729,0,0,0
"206",10.25,0,0,0,729,729,0,0,0
"207",10.3,0,0,0,729,729,0,0,0
"208",10.35,0,0,0,729,729,0,0,0
"209",10.4,0,0,0,729,729,0,0,0
"210",10.45,0,0,0,729,729,0,0,0
"211",10.5,0,0,0,729,729,0,0,0
"212",10.55,0,0,0,729,729,0,0,0
"213",10.6,0,0,0,729,729,0,0,0
"214",10.65,0,0,0,729,729,0,0,0
"215",10.7,0,0,0,729,729,0,0,0
"216",10.75,0,0,0,729,729,0,0,0
"217",10.8,0,0,0,729,729,0,0,0
"218",10.85,0,0,0,729,729,0,0,0
"219",10.9,0,0,0,729,729,0,0,0
"220",10.95,0,0,0,729,729,0,0,0
"221",11,0,0,0,729,729,0,0,0
"222",11.05,0,0,0,729,729,0,0,0
"223",11.1,0,0,0,729,729,0,0,0
"224",11.15,0,0,0,729,729,0,0,0
"225",11.2,0,0,0,729,729,0,0,0
"226",11.25,0,0,0,729,729,0,0,0
"227",11.3,0,0,0,729,729,0,0,0
"228",11.35,0,0,0,729,729,0,0,0
"229",11.4,0,0,0,729,729,0,0,0
"230",11.45,0,0,0,729,729,0,0,0
"231",11.5,0,0,0,729,729,0,0,0
"232",11.55,0,0,0,729,729,0,0,0
"233",11.6,0,0,0,729,729,0,0,0
