#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
1588399|2005-04-01T02:47:07.060000|46.173|12.751|10.0|BULLETIN-VAX||||Md|2.6|--|2 km S Fanna (PN)
1588419|2005-04-01T05:56:45.700000|37.767|14.984|20.5|BULLETIN-VAX||||Md|2.0|--|12 km SE Maletto (CT)
1588549|2005-04-01T18:00:53.440000|37.784|14.999|22.4|BULLETIN-VAX||||Md|2.2|--|12 km SE Randazzo (CT)
1588599|2005-04-01T22:50:00.230000|43.491|13.723|5.0|BULLETIN-VAX||||Md|2.7|--|Costa Marchigiana Maceratese (Macerata)
1588619|2005-04-02T04:57:04.880000|41.694|14.883|22.5|BULLETIN-VAX||||Md|2.3|--|4 km W Bonefro (CB)
1588659|2005-04-02T11:03:47.220000|43.818|11.025|10.0|BULLETIN-VAX||||Md|2.3|--|1 km NE Carmignano (PO)
1588679|2005-04-02T11:05:11.460000|44.185|11.551|10.0|BULLETIN-VAX||||Md|2.6|--|5 km SE Castel del Rio (BO)
1588739|2005-04-02T16:25:03.930000|44.604|9.986|10.0|BULLETIN-VAX||||Md|2.8|--|1 km SE Solignano (PR)
1588759|2005-04-02T17:03:18.810000|41.889|14.149|24.0|BULLETIN-VAX||||Md|2.3|--|5 km W Gamberale (CH)
1588779|2005-04-02T21:29:22.270000|44.179|11.815|5.2|BULLETIN-VAX||||Md|2.6|--|3 km NE Modigliana (FC)
1588799|2005-04-02T23:29:42.990000|41.033|14.551|5.6|BULLETIN-VAX||||Md|3.0|--|1 km S Arpaia (BN)
1588879|2005-04-03T12:06:24.380000|42.527|13.243|10.0|BULLETIN-VAX||||Md|2.3|--|NW Montereale (AQ)
1588919|2005-04-03T21:36:09.270000|44.104|11.71|10.0|BULLETIN-VAX||||Md|2.1|--|4 km NW Tredozio (FC)
1588939|2005-04-04T03:13:02.010000|43.368|12.66|10.0|BULLETIN-VAX||||Md|2.2|--|4 km S Scheggia e Pascelupo (PG)
1589009|2005-04-04T10:58:31.560000|42.519|13.197|9.8|BULLETIN-VAX||||Md|2.3|--|4 km W Montereale (AQ)
1589119|2005-04-04T22:21:36.150000|41.832|13.567|10.0|BULLETIN-VAX||||Md|3.1|--|3 km N Balsorano (AQ)
1589159|2005-04-05T02:49:54.810000|43.889|12.51|33.1|BULLETIN-VAX||||Md|2.5|--|S Sassofeltrio (PU)
1589299|2005-04-05T12:07:10.820000|42.767|13.161|20.1|BULLETIN-VAX||||Md|2.4|--|6 km E Norcia (PG)
1589309|2005-04-05T13:38:27.710000|42.333|12.656|10.9|BULLETIN-VAX||||Md|2.8|--|1 km W Casperia (RI)
1589459|2005-04-06T03:31:19.210000|40.748|14.657|10.0|BULLETIN-VAX||||Md|2.6|--|1 km E Nocera Inferiore (SA)
1589499|2005-04-06T07:51:31.110000|41.644|14.86|5.0|BULLETIN-VAX||||Md|2.4|--|3 km NW Sant'Elia a Pianisi (CB)
1589659|2005-04-06T23:11:58.350000|42.142|13.346|9.9|BULLETIN-VAX||||Md|2.7|--|5 km NW Massa d'Albe (AQ)
1589679|2005-04-07T01:46:16.240000|40.648|15.497|14.6|BULLETIN-VAX||||Md|2.7|--|1 km W Balvano (PZ)
1589839|2005-04-07T20:01:54.980000|43.19|11.075|4.2|BULLETIN-VAX||||Md|2.6|--|4 km NW Chiusdino (SI)
1589859|2005-04-07T20:52:07.100000|42.476|13.174|10.0|BULLETIN-VAX||||Md|2.1|--|5 km W Cagnano Amiterno (AQ)
1589889|2005-04-07T21:44:24.760000|42.68|11.774|5.9|BULLETIN-VAX||||Md|2.8|--|4 km W Onano (VT)
1589939|2005-04-08T02:05:51.930000|44.376|7.311|19.2|BULLETIN-VAX||||Md|2.7|--|4 km S Monterosso Grana (CN)
1589999|2005-04-08T08:34:54.350000|43.351|13.289|6.7|BULLETIN-VAX||||Md|2.2|--|5 km NW Treia (MC)
1590009|2005-04-08T09:04:43.760000|43.086|13.354|10.0|BULLETIN-VAX||||Md|2.6|--|2 km NE Gualdo (MC)
1590179|2005-04-09T00:31:47.520000|43.079|13.341|4.9|BULLETIN-VAX||||Md|3.3|--|1 km N Gualdo (MC)
1590189|2005-04-09T00:33:12.450000|43.084|13.349|10.0|BULLETIN-VAX||||Md|2.3|--|2 km NE Gualdo (MC)
1590199|2005-04-09T00:35:34.700000|42.97|12.701|10.0|BULLETIN-VAX||||Md|2.1|--|2 km N Foligno (PG)
1590239|2005-04-09T01:07:54.220000|43.743|12.026|2.7|BULLETIN-VAX||||Md|2.7|--|6 km S Verghereto (FC)
1590259|2005-04-09T01:36:06.800000|43.098|13.384|10.0|BULLETIN-VAX||||Md|2.3|--|1 km W Sant'Angelo in Pontano (MC)
1590289|2005-04-09T03:54:26.210000|43.716|12.004|4.4|BULLETIN-VAX||||Md|2.5|--|6 km E Chiusi della Verna (AR)
1590319|2005-04-09T07:50:52.810000|43.142|11.024|10.0|BULLETIN-VAX||||Md|2.4|--|1 km NE Montieri (GR)
1590349|2005-04-09T11:10:20.390000|43.091|13.36|10.0|BULLETIN-VAX||||Md|2.4|--|3 km NE Gualdo (MC)
1590399|2005-04-09T18:09:39.450000|44.117|8.457|9.6|BULLETIN-VAX||||Md|2.6|--|Costa Ligure centro-occidentale (Savona)
1590479|2005-04-09T20:17:18.080000|42.978|10.874|6.3|BULLETIN-VAX||||Md|2.5|--|6 km NW Gavorrano (GR)
1590489|2005-04-09T20:22:40.730000|41.625|15.229|12.9|BULLETIN-VAX||||Md|2.2|--|9 km SW Torremaggiore (FG)
1590529|2005-04-09T20:59:04.770000|42.951|10.942|8.0|BULLETIN-VAX||||Md|2.9|--|4 km NE Gavorrano (GR)
1590559|2005-04-09T21:51:38.610000|44.424|7.254|2.3|BULLETIN-VAX||||Md|2.5|--|2 km W Pradleves (CN)
1590569|2005-04-09T21:59:57.160000|42.954|10.945|7.9|BULLETIN-VAX||||Md|2.8|--|4 km NE Gavorrano (GR)
1590599|2005-04-10T00:52:18.230000|43.849|11.137|10.0|BULLETIN-VAX||||Md|1.9|--|3 km N Campi Bisenzio (FI)
1590609|2005-04-10T01:24:15.710000|41.011|16.074|3.5|BULLETIN-VAX||||Md|3.0|--|5 km N Spinazzola (BT)
1590619|2005-04-10T01:31:37.010000|38.734|15.932|26.2|BULLETIN-VAX||||Md|2.6|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
1590629|2005-04-10T02:20:53.210000|43.025|10.885|5.0|BULLETIN-VAX||||Md|2.3|--|3 km S Massa Marittima (GR)
1590639|2005-04-10T03:03:57.740000|43.073|12.879|10.0|BULLETIN-VAX||||Md|2.3|--|6 km W Serravalle di Chienti (MC)
1590669|2005-04-10T05:10:53.500000|39.438|16.881|13.3|BULLETIN-VAX||||Md|2.7|--|1 km SW Scala Coeli (CS)
1590879|2005-04-11T01:32:18.080000|44.363|12.333|5.0|BULLETIN-VAX||||Md|2.7|--|Costa Ravennate (Ravenna)
1590959|2005-04-11T18:55:03.560000|43.278|10.846|5.0|BULLETIN-VAX||||Md|2.4|--|3 km SW Pomarance (PI)
1590999|2005-04-11T22:08:14.250000|42.329|12.653|14.3|BULLETIN-VAX||||Md|2.5|--|2 km SW Casperia (RI)
1591039|2005-04-12T00:31:51.610000|43.094|13.379|4.3|BULLETIN-VAX||||Md|3.5|--|2 km W Sant'Angelo in Pontano (MC)
1591089|2005-04-12T03:02:56.440000|43.636|12.35|10.0|BULLETIN-VAX||||Md|2.2|--|2 km SE Mercatello sul Metauro (PU)
1591129|2005-04-12T09:37:51.950000|43.909|8.384|7.5|BULLETIN-VAX||||Md|3.0|--|Costa Ligure centro-occidentale (Savona)
1591249|2005-04-12T21:45:17.850000|38.572|12.344|5.0|BULLETIN-VAX||||Md|2.7|--|Tirreno Meridionale (MARE)
1591259|2005-04-12T23:23:46.770000|39.325|16.78|8.0|BULLETIN-VAX||||Md|2.7|--|1 km N Savelli (KR)
1591339|2005-04-13T05:48:46.040000|41.509|13.767|10.0|BULLETIN-VAX||||Md|2.6|--|W Villa Santa Lucia (FR)
1591349|2005-04-13T06:17:05.080000|40.862|15.209|13.5|BULLETIN-VAX||||Md|2.1|--|2 km SE Lioni (AV)
1591489|2005-04-13T13:19:19.880000|37.504|16.333|24.0|BULLETIN-VAX||||Md|3.1|--|Mar Ionio Meridionale (MARE)
1591539|2005-04-13T18:46:07.690000|44.69|9.326|3.0|BULLETIN-VAX||||Md|3.4|--|2 km NW Cerignale (PC)
1591619|2005-04-13T23:40:01.080000|41.591|14.784|11.7|BULLETIN-VAX||||Md|2.3|--|2 km NE Toro (CB)
1591629|2005-04-14T04:41:59.690000|41.767|13.618|9.4|BULLETIN-VAX||||Md|2.2|--|4 km NW Pescosolido (FR)
1591839|2005-04-14T19:41:23.370000|43.064|13.978|5.0|BULLETIN-VAX||||Md|2.5|--|Costa Marchigiana Picena (Ascoli Piceno)
1591869|2005-04-14T21:58:27.460000|43.094|13.353|10.0|BULLETIN-VAX||||Md|2.4|--|3 km NE Gualdo (MC)
1591879|2005-04-14T22:17:54.970000|44.135|10.875|10.0|BULLETIN-VAX||||Md|2.1|--|3 km SW Lizzano in Belvedere (BO)
1591909|2005-04-14T23:09:55.700000|39.281|16.94|8.5|BULLETIN-VAX||||Md|2.9|--|3 km W San Nicola dell'Alto (KR)
1591919|2005-04-14T23:25:49.480000|39.227|17.039|6.9|BULLETIN-VAX||||Md|2.8|--|5 km S Strongoli (KR)
1591929|2005-04-15T00:24:46.560000|38.396|12.115|5.0|BULLETIN-VAX||||Md|2.8|--|Tirreno Meridionale (MARE)
1591979|2005-04-15T07:35:56.010000|40.796|14.674|5.6|BULLETIN-VAX||||Md|2.4|--|2 km W Siano (SA)
1591989|2005-04-15T07:41:32.220000|39.706|15.658|5.0|BULLETIN-VAX||||Md|3.4|--|Costa Calabra nord-occidentale (Cosenza)
1592129|2005-04-15T16:25:49.750000|46.109|12.279|5.0|BULLETIN-VAX||||Md|2.7|--|6 km SE Belluno (BL)
1592159|2005-04-15T20:27:06.170000|38.392|13.627|5.0|BULLETIN-VAX||||Md|2.6|--|Costa Siciliana centro-settentrionale (Palermo)
1592179|2005-04-15T21:09:07.660000|43.313|11.504|5.0|BULLETIN-VAX||||Md|2.3|--|4 km S Castelnuovo Berardenga (SI)
1592229|2005-04-16T00:16:02.640000|41.677|14.189|8.6|BULLETIN-SISPICK||||ML|0.9|--|2 km S Forlì del Sannio (IS)
1592239|2005-04-16T00:39:04.490000|43.167|12.717|3.4|BULLETIN-SISPICK||||ML|1.2|--|9 km NW Nocera Umbra (PG)
1592259|2005-04-16T01:59:16.120000|41.704|14.853|20.2|BULLETIN-SISPICK||||ML|1.3|--|3 km SE Provvidenti (CB)
1592249|2005-04-16T01:59:20.350000|42.672|12.39|9.6|BULLETIN-SISPICK||||ML|1.7|--|4 km W Avigliano Umbro (TR)
1592269|2005-04-16T02:02:25.950000|42.675|12.369|7.1|BULLETIN-SISPICK||||ML|1.4|--|5 km W Avigliano Umbro (TR)
1592279|2005-04-16T05:52:39.530000|43.166|12.713|9.3|BULLETIN-SISPICK||||ML|1.9|--|9 km NW Nocera Umbra (PG)
1592299|2005-04-16T11:23:38.180000|39.498|15.082|306.7|BULLETIN-SISPICK||||ML|3.8|--|Tirreno Meridionale (MARE)
1592309|2005-04-16T16:35:43.790000|46.052|7.421|12.5|BULLETIN-SISPICK||||ML|1.9|--|Confine Italia-Svizzera (SVIZZERA)
1592329|2005-04-17T03:22:25.610000|41.629|14.124|8.5|BULLETIN-SISPICK||||ML|1.4|--|3 km NW Fornelli (IS)
1592349|2005-04-17T04:39:52.300000|41.613|14.794|5.6|BULLETIN-SISPICK||||ML|1.2|--|1 km W Monacilioni (CB)
1592359|2005-04-17T04:54:20.950000|43.085|13.305|23.2|BULLETIN-SISPICK||||ML|2.0|--|3 km SW San Ginesio (MC)
1592369|2005-04-17T05:06:52.380000|43.075|13.292|21.7|BULLETIN-SISPICK||||ML|2.1|--|4 km W Gualdo (MC)
1592379|2005-04-17T05:21:37.780000|43.96|11.574|8.4|BULLETIN-SISPICK||||ML|0.8|--|5 km NW San Godenzo (FI)
1592389|2005-04-17T05:57:59.700000|41.689|14.792|16.7|BULLETIN-SISPICK||||ML|1.8|--|1 km W Ripabottoni (CB)
1592399|2005-04-17T07:22:36.480000|43.937|11.577|7.6|BULLETIN-SISPICK||||Md|1.6|--|4 km W San Godenzo (FI)
1592409|2005-04-17T07:45:48.120000|41.627|14.145|1.5|BULLETIN-SISPICK||||ML|1.3|--|2 km N Fornelli (IS)
1592419|2005-04-17T08:58:46.410000|41.636|14.153|5.0|BULLETIN-SISPICK||||ML|1.3|--|3 km N Fornelli (IS)
1592429|2005-04-17T10:46:59.000000|43.267|12.515|9.0|BULLETIN-SISPICK||||ML|2.5|--|11 km SW Gubbio (PG)
1592439|2005-04-17T12:18:29.210000|43.038|12.909|8.7|BULLETIN-SISPICK||||ML|1.7|--|5 km SW Serravalle di Chienti (MC)
1592459|2005-04-17T18:39:02.050000|41.65|14.162|8.1|BULLETIN-SISPICK||||ML|1.4|--|3 km SE Acquaviva d'Isernia (IS)
1592469|2005-04-17T20:25:45.460000|41.663|14.185|6.5|BULLETIN-SISPICK||||ML|1.2|--|3 km E Acquaviva d'Isernia (IS)
1592489|2005-04-18T01:17:09.490000|38.94|14.544|28.0|BULLETIN-SISPICK||||ML|2.6|--|Tirreno Meridionale (MARE)
1592499|2005-04-18T04:25:23.760000|38.987|16.487|5.8|BULLETIN-SISPICK||||ML|2.5|--|3 km SE San Pietro Apostolo (CZ)
1592509|2005-04-18T08:23:56.620000|41.759|13.595|9.5|BULLETIN-SISPICK||||ML|1.9|--|5 km NW Sora (FR)
1592519|2005-04-18T10:06:00.320000|38.639|14.376|38.8|BULLETIN-SISPICK||||ML|3.1|--|Isole Eolie (Messina)
1592529|2005-04-18T10:59:18.560000|44.724|9.348|7.8|BULLETIN-SISPICK||||ML|3.7|--|3 km W Corte Brugnatella (PC)
1592539|2005-04-18T11:45:33.180000|41.635|14.149|5.5|BULLETIN-SISPICK||||ML|2.1|--|3 km N Fornelli (IS)
1592549|2005-04-18T13:15:05.170000|43.268|12.805|9.6|BULLETIN-SISPICK||||ML|1.6|--|4 km NE Gualdo Tadino (PG)
1592559|2005-04-18T15:56:08.000000|41.702|14.168|9.4|BULLETIN-SISPICK||||ML|2.1|--|1 km W Forlì del Sannio (IS)
1592569|2005-04-18T16:04:56.910000|41.607|14.113|6.8|BULLETIN-SISPICK||||ML|1.8|--|1 km NE Colli a Volturno (IS)
1592579|2005-04-18T16:38:12.630000|41.702|14.231|5.8|BULLETIN-SISPICK||||ML|1.2|--|NW Roccasicura (IS)
1592589|2005-04-18T18:00:51.980000|41.713|14.166|9.3|BULLETIN-SISPICK||||ML|2.2|--|2 km E Rionero Sannitico (IS)
1592599|2005-04-18T18:25:49.620000|41.66|14.182|6.1|BULLETIN-SISPICK||||ML|1.2|--|3 km SE Acquaviva d'Isernia (IS)
1592609|2005-04-18T18:39:15.030000|41.644|14.163|4.7|BULLETIN-SISPICK||||ML|1.0|--|3 km SE Acquaviva d'Isernia (IS)
1592619|2005-04-18T19:15:22.500000|41.685|14.19|9.0|BULLETIN-SISPICK||||ML|1.3|--|1 km SE Forlì del Sannio (IS)
1592629|2005-04-18T19:58:49.990000|41.596|14.117|0.8|BULLETIN-SISPICK||||ML|1.3|--|1 km E Colli a Volturno (IS)
1592639|2005-04-18T20:11:21.070000|41.66|14.164|9.6|BULLETIN-SISPICK||||ML|1.5|--|2 km SE Acquaviva d'Isernia (IS)
1592649|2005-04-18T20:43:08.750000|41.645|14.164|5.0|BULLETIN-SISPICK||||ML|1.2|--|3 km SE Acquaviva d'Isernia (IS)
1592659|2005-04-18T20:51:19.720000|41.655|14.171|6.3|BULLETIN-SISPICK||||ML|1.1|--|3 km SE Acquaviva d'Isernia (IS)
1592669|2005-04-18T21:31:48.970000|41.676|14.215|7.8|BULLETIN-SISPICK||||ML|1.1|--|3 km SW Roccasicura (IS)
1592679|2005-04-18T21:42:38.700000|41.663|14.182|6.7|BULLETIN-SISPICK||||ML|1.3|--|3 km E Acquaviva d'Isernia (IS)
1592699|2005-04-18T22:14:22.000000|43.021|12.889|8.6|BULLETIN-SISPICK||||ML|1.6|--|8 km SW Serravalle di Chienti (MC)
1592709|2005-04-18T22:19:14.100000|41.671|14.194|4.8|BULLETIN-SISPICK||||ML|0.7|--|3 km SE Forlì del Sannio (IS)
1592719|2005-04-18T22:37:07.170000|41.626|14.141|0.7|BULLETIN-SISPICK||||ML|1.1|--|2 km N Fornelli (IS)
1592729|2005-04-18T23:08:18.020000|38.454|14.514|24.2|BULLETIN-SISPICK||||ML|1.8|--|Isole Eolie (Messina)
1592739|2005-04-18T23:21:16.460000|41.643|14.159|4.7|BULLETIN-SISPICK||||ML|1.0|--|3 km S Acquaviva d'Isernia (IS)
1592749|2005-04-19T00:03:57.240000|41.654|14.17|6.3|BULLETIN-SISPICK||||ML|0.9|--|3 km SE Acquaviva d'Isernia (IS)
1592759|2005-04-19T00:16:39.400000|46.345|12.024|15.2|BULLETIN-SISPICK||||ML|1.9|--|4 km E Cencenighe Agordino (BL)
1592769|2005-04-19T01:12:04.500000|43.272|12.49|9.8|BULLETIN-SISPICK||||Md|1.8|--|12 km SW Gubbio (PG)
1592779|2005-04-19T06:13:26.030000|41.659|14.156|10.8|BULLETIN-SISPICK||||ML|1.7|--|2 km S Acquaviva d'Isernia (IS)
1592799|2005-04-19T07:09:38.270000|41.645|14.166|3.9|BULLETIN-SISPICK||||ML|1.5|--|3 km SE Acquaviva d'Isernia (IS)
1592819|2005-04-19T07:42:01.250000|44.77|9.724|25.2|BULLETIN-SISPICK||||ML|3.8|--|5 km NE Morfasso (PC)
1592839|2005-04-19T08:27:39.880000|44.769|9.687|25.6|BULLETIN-SISPICK||||ML|3.5|--|5 km N Morfasso (PC)
